ano,tipoProposicao,numero,ementa,tipo_veto,tipo_veto_conflito,resultado_rotulo,resultado_fonte,pergunta_invertida,data_votacao,votacao_materia,votos_sim,votos_nao,abstencoes,fonte,na_janela_de_coleta,documento_id
2020,PL,967,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2020,PL,979,,indeterminado,nao,REJEITADA,painel_resultado_rotulo,nao,2024-02-20,BLOCO VETOS 20.02.2024,0,34,0,painel,nao,
2020,PL,988,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2023-08-30,BLOCO VETOS PODER EXECUTIVO 30.08.2023,14,0,0,painel,nao,
2020,PL,990,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2023-08-30,BLOCO VETOS PODER EXECUTIVO 30.08.2023,14,0,0,painel,nao,
2020,PL,991,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2025-05-13,BLOCO DE VETOS DE 13/05/2025,18,0,0,painel,nao,
2020,PLC,30,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2023-08-30,BLOCO VETOS PODER EXECUTIVO 30.08.2023,14,0,0,painel,nao,
2020,PLC,34,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2023-08-30,BLOCO VETOS PODER EXECUTIVO 30.08.2023,14,0,0,painel,nao,
2020,PLC,37,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2025-05-13,BLOCO DE VETOS DE 13/05/2025,18,0,0,painel,nao,
2020,PLC,44,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2023-08-30,BLOCO VETOS PODER EXECUTIVO 30.08.2023,14,0,0,painel,nao,
2020,PLC,45,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2023-08-30,BLOCO VETOS PODER EXECUTIVO 30.08.2023,14,0,0,painel,nao,
2020,PLC,58,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2023-08-30,BLOCO VETOS PODER EXECUTIVO 30.08.2023,14,0,0,painel,nao,
2020,PLC,63,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2023-08-30,BLOCO VETOS PODER EXECUTIVO 30.08.2023,14,0,0,painel,nao,
2020,PLC,69,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2020,PLC,70,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2023-08-30,BLOCO VETOS PODER EXECUTIVO 30.08.2023,14,0,0,painel,nao,
2020,PLC,72,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2021,PL,1657,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2023-08-30,BLOCO VETOS PODER EXECUTIVO 30.08.2023,14,0,0,painel,nao,
2021,PL,1668,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2021,PL,1703,,indeterminado,nao,REPROVADO,painel_resultado_rotulo,nao,2025-12-03,BLOCO DE VETOS DE 03/12/2025,0,17,0,painel,nao,
2021,PL,1728,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2021,PL,1735,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2023-08-30,BLOCO VETOS PODER EXECUTIVO 30.08.2023,14,0,0,painel,nao,
2021,PL,1767,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2021,PL,1792,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2021,PL,1797,,indeterminado,nao,REJEITADA,painel_resultado_rotulo,nao,2024-02-20,BLOCO VETOS 20.02.2024,0,34,0,painel,nao,
2021,PL,1818,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2023-08-30,BLOCO VETOS PODER EXECUTIVO 30.08.2023,14,0,0,painel,nao,
2021,PL,1844,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2021,PL,1862,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
