cnpj,empresa,contratos,valor_contratado,sancionada,ordens_bancarias,valor_recebido,tambem_fornece_a_gabinete,valor_recebido_de_gabinete,as_of
03517258000158,MAXVIDEO COMERCIO E SERVICOS EIRELI,1,"244.767,12",não,58,"970.517,89",não,,2026-06-26T15:56:41
57142978000105,BRASOFTWARE INFORMATICA LTDA | BRASOFTWARE INFORMÁTICA LTDA,2,"602.896,82",não,14,"948.568,77",não,,2026-06-26T15:56:41
04198254000117,MCR SISTEMAS E CONSULTORIA LTDA,2,"997.323,75",não,2,"921.505,68",não,,2026-06-26T15:56:41
05411789000197,SHOWCASE PRO TECNOLOGIA LTDA | SHOWCASE PRO TECNOLOGIA LTDA.,3,"677.953,32",não,137,"863.264,90",não,,2026-06-26T15:56:41
60316817000103,MICROSOFT INFORMATICA LTDA,1,"1.905.510,44",não,2,"843.492,22",não,,2026-06-26T15:56:41
07259712000179,BERKANA TECNOLOGIA EM SEGURANCA LTDA,1,"320.000,00",não,2,"830.908,00",não,,2026-06-26T15:56:41
02543216001109,PERFIL COMPUTACIONAL LTDA,1,"841.500,00",não,3,"826.989,50",não,,2026-06-26T15:56:41
52285726000111,KAMALEAO TECNOLOGIA LTDA,2,"817.310,87",não,7,"811.663,61",não,,2026-06-26T15:56:41
25165749000110,NEO CONSULTORIA E ADMINISTRACAO DE BENEFICIOS EIRELI | NEO CONSULTORIA E ADMINISTRACAO DE BENEFICIOS LTDA,3,"591.315,65",não,121,"705.051,66",não,,2026-06-26T15:56:41
07660888000138,"CLARA SERVIÇOS INTEGRADOS DE VIDEO, CONTEÚDO E WEB LTDA | HEAD 360 GRAUS SERVIÇOS DE MARKETING",2,"9.005.266,52",não,8,"664.091,68",não,,2026-06-26T15:56:41
01590728000930,MICROTECNICA INFORMATICA LTDA,1,"658.440,00",não,3,"649.960,47",não,,2026-06-26T15:56:41
03828805000116,RIOPRO INFORMATICA LTDA | RIOPRO INFORMÁTICA-LTDA,2,"325.880,00",não,54,"644.000,00",não,,2026-06-26T15:56:41
11450144000166,MANC - MANUTENÇAO E CONSTRUÇÃO EIRELI,1,"2.399.099,34",não,20,"633.274,43",não,,2026-06-26T15:56:41
78931474000497,ROOST LTDA,1,"644.739,50",não,9,"615.498,49",não,,2026-06-26T15:56:41
22463530000109,JDR SERVICES LTDA,1,"872.833,14",não,15,"603.971,39",não,,2026-06-26T15:56:41
10757593000199,THS TECNOLOGIA INFORMAÇÃO E COMUNICAÇÃO LTDA,1,"1.576.025,00",não,15,"601.711,32",não,,2026-06-26T15:56:41
02558157013574,TELEFONICA BRASIL S.A | TELEFONICA BRASIL S.A.,2,"1.559.817,00",não,1,"593.978,31",não,,2026-06-26T15:56:41
43262746000186,JUSTI TRADUCOES LTDA,1,"331.409,40",não,30,"593.914,61",não,,2026-06-26T15:56:41
85240869000166,ILHA SERVICE TECNOLOGIA E SERVICOS LTDA,1,"3.359.998,27",não,12,"584.683,18",não,,2026-06-26T15:56:41
02474172000122,"INSTITUTO BRASILEIRO DE ENSINO, DESENVOLVIMENTO E PESQUISA IDP - LTDA | NSTITUTO BRASILEIRO DE ENSINO, DESENVOLVIMENTO E PESQUISA IDP - LTDA",2,"98.343,20",não,359,"569.160,26",não,,2026-06-26T15:56:41
45078161000136,AV CONECT SOLUCOES INTEGRADAS LTDA,2,"543.809,60",não,5,"543.809,60",não,,2026-06-26T15:56:41
24907701000177,TEMPER ENGENHARIA E COMERCIO LTDA,1,"633.000,00",não,6,"526.933,67",não,,2026-06-26T15:56:41
12500834000145,JR COMERCIOS E VIDROS LTDA | JR COMÉRCIOS E VIDROS LTDA,3,"756.912,21",não,6,"522.442,92",não,,2026-06-26T15:56:41
10806106000130,R & R EQUIPAMENTOS ELETRONICOS LTDA,1,"474.080,37",não,4,"474.080,37",não,,2026-06-26T15:56:41
09388567000151,SHOW TECNOLOGIA DA INFORMACAO E COMERCIO DE EQUIPAMENTO DE INFORMATICA LTDA | SHOW TECNOLOGIA DA INFORMAÇÃO E COMÉRCIO DE EQUIPAMENTOS DE INFORMÁTICA EIRELI,2,"201.953,16",não,55,"470.065,04",não,,2026-06-26T15:56:41
48115921000126,DIGICAST COMERCIO DE EQUIPAMENTOS DE AUDIO E VIDEO LTDA,1,"466.000,00",não,1,"466.000,00",não,,2026-06-26T15:56:41
72381189000110,DELL COMPUTADORES DO BRASIL LTDA,1,"780.224,91",não,11,"427.115,17",não,,2026-06-26T15:56:41
10786518000156,ART INTEGRA LTDA,1,"424.000,00",não,1,"424.000,00",não,,2026-06-26T15:56:41
20217208000174,GOLDI SERVICOS E ADMINISTRACAO LTDA,1,"430.656,22",não,34,"413.195,38",não,,2026-06-26T15:56:41
14062549000115,H3D SOLUCOES DE TELEINFORMATICA LTDA,1,"61.872,48",não,59,"408.216,92",não,,2026-06-26T15:56:41
45874714000167,A.N.D CAPELLI LTDA,2,"595.458,36",não,2,"400.458,93",não,,2026-06-26T15:56:41
00474973000162,ESCRITÓRIO CENTRAL DE ARRECADAÇÃO E DISTRIBUIÇÃO - ECAD,2,"182.873,90",não,44,"376.408,13",não,,2026-06-26T15:56:41
00530279000115,SENADO FEDERAL | SENADO FEDERAL/ILB | SENADO FEDERAL/TV SENADO,5,"53.363,64",não,6,"375.219,93",não,,2026-06-26T15:56:41
03157626000102,FORTE GRAFICA E EDITORA LTDA,1,"183.488,28",não,6,"362.688,54",não,,2026-06-26T15:56:41
09475334000196,EDUCALIBRAS TREINAMENTO E DESENVOLVIMENTO DO IDIOMA DE LIBRAS LTDA.,1,"278.976,38",não,21,"355.409,98",não,,2026-06-26T15:56:41
05555382000133,AOVS SISTEMAS DE INFORMATICA S.A.,1,"138.000,00",não,3,"353.401,44",não,,2026-06-26T15:56:41
05889039000125,FAST HELP INFORMATICA LTDA,1,"265.793,50",não,5,"351.383,18",não,,2026-06-26T15:56:41
05340639000130,PRIME CONSULTORIA E ASSESSORIA EMPRESARIAL LTDA,1,"865.770,68",não,8,"344.718,61",não,,2026-06-26T15:56:41
11401815000107,MUNDO JOVEM TURISMO E EVENTOS LTDA,1,"531.893,00",não,9,"339.537,83",não,,2026-06-26T15:56:41
01002812000139,SHV INDÚSTRIA E COMÉRCIO DE MÓVEIS LTDA,1,"289.825,00",não,5,"339.185,00",não,,2026-06-26T15:56:41
12187221000108,MASTER ENGENHARIA E SEGURANCA PATRIMONIAL LTDA,1,"3.644.568,24",não,2,"307.528,00",não,,2026-06-26T15:56:41
43017238000132,SINERGICA - SERVICOS DE ELETRICIDADE LTDA,1,"299.999,98",não,1,"299.999,98",não,,2026-06-26T15:56:41
10221304000132,AZTER SOLUÇÕES LTDA,1,"85.991,36",não,37,"299.680,59",não,,2026-06-26T15:56:41
36839023000131,CARVALHO MIRANDA EQUIPAMENTOS LTDA,1,"296.780,55",não,1,"296.780,55",não,,2026-06-26T15:56:41
03624962000100,GESTEMAQ COMERCIO E ASSISTENCIA TECNICA LTDA | GESTEMAQ COMÉRCIO E ASSISTÊNCIA TÉCNICA LTDA,2,"161.387,52",não,56,"292.885,64",não,,2026-06-26T15:56:41
43127104000174,EVERTON SILVA DOS SANTOS,1,"288.770,00",não,2,"288.770,00",não,,2026-06-26T15:56:41
86781069000115,ZENITE INFORMACAO E CONSULTORIA S/A,2,"41.209,96",não,14,"286.853,47",não,,2026-06-26T15:56:41
00394601000126,SECRETARIA DE ESTADO DA MULHER DO DF,1,"0,00",não,20,"285.584,00",não,,2026-06-26T15:56:41
72602303000195,PURÍSSIMA ÁGUA MINERAL LTDA,3,"225.044,64",não,52,"282.365,82",não,,2026-06-26T15:56:41
01215897000133,IDEALINE TECNOLOGIA E SEGURANÇA LTDA.,1,"132.876,10",não,61,"281.794,27",não,,2026-06-26T15:56:41
01134191000228,SERVIX INFORMATICA LTDA,1,"116.567,16",não,31,"278.011,71",não,,2026-06-26T15:56:41
04936559000189,MULTIPLENA COMÉRCIO E SERVIÇOS LTDA.,1,"797.920,00",não,4,"258.704,11",não,,2026-06-26T15:56:41
06031911000162,ESPLANADA INDUSTRIA E COMERCIO DE DIVISORIAS E MOVEIS LTDA,1,"611.500,00",não,6,"244.551,30",não,,2026-06-26T15:56:41
71208516000174,ALGAR TELECOM S/A,2,"174.366,94",não,58,"240.844,11",não,,2026-06-26T15:56:41
46851421000127,BERT ENGENHARIA LTDA,2,"369.557,58",não,10,"239.508,63",não,,2026-06-26T15:56:41
01832691000152,NEW SOLUTIONS COMERCIO E SERVICOS LTDA,2,"355.006,20",não,40,"233.888,30",não,,2026-06-26T15:56:41
07316919000138,GOVERNET EDITORA LTDA,2,"84.794,47",não,5,"230.005,63",não,,2026-06-26T15:56:41
10947243000195,LINEAR COMUNICACÃO LTDA,1,"49.260,00",não,56,"223.519,87",não,,2026-06-26T15:56:41
33683111000107,SERVIÇO FEDERAL DE PROCESSAMENTO DE DADOS - SERPRO,1,"45.931,22",não,59,"198.845,20",não,,2026-06-26T15:56:41
08052666000103,LVM VIAGENS E TURISMO LTDA,1,"315.421,20",não,12,"196.913,52",não,,2026-06-26T15:56:41
32908188000167,QUANTICA EMPRESA DE CONSULTORIA E SERVICOS LTDA,1,"427.000,00",não,2,"192.577,00",não,,2026-06-26T15:56:41
65149197000251,REPREMIG REPRESENTACAO E COMERCIO DE MINAS GERAIS LTDA,1,"137.970,00",não,2,"191.414,13",não,,2026-06-26T15:56:41
04941693000178,DROGARIA SAO MIGUEL ARCANJO LTDA | DROGARIA SÃO MIGUEL ARCANJO LTDA,2,"120.792,23",não,22,"190.089,61",não,,2026-06-26T15:56:41
11222035000191,JVO ENGENHARIA & ARQUITETURA LTDA,1,"212.340,71",não,8,"158.697,06",não,,2026-06-26T15:56:41
07797967000195,NP TECNOLOGIA E GESTAO DE DADOS LTDA | NP TECNOLOGIA E GESTÃO DE DADOS LTDA,3,"117.250,00",não,4,"157.165,68",não,,2026-06-26T15:56:41
34409656000184,PA ARQUIVOS LTDA,1,"206.000,00",não,6,"155.279,47",não,,2026-06-26T15:56:41
22075021000109,L.A. PISOS ELEVADOS LTDA,1,"181.599,92",não,3,"154.178,34",não,,2026-06-26T15:56:41
07662533000188,ROMULO GUEDES DOS SANTOS,1,"229.140,00",não,5,"151.379,71",não,,2026-06-26T15:56:41
32904046000121,RPL COMERCIO E SERVICOS LTDA,1,"34.544,16",não,53,"133.881,03",não,,2026-06-26T15:56:41
04119118000194,JARDA COMERCIAL DE ALIMENTOS EIRELI,1,"113.024,80",não,2,"128.138,76",não,,2026-06-26T15:56:41
20204743000190,WEDAN CONSULTORIA E ASSESSORIA ATUARIAL LTDA.,1,"0,00",não,3,"120.666,00",não,,2026-06-26T15:56:41
29853493000194,DFLORES - FLORES E PLANTAS LTDA,3,"309.702,70",não,45,"119.582,09",não,,2026-06-26T15:56:41
47725628000118,PRIMER SOLUCOES LTDA,1,"115.626,00",não,2,"114.238,49",não,,2026-06-26T15:56:41
07720240000100,WMED UTI MOVEL SERVICOS DE SAUDE LTDA,1,"670.599,00",não,28,"113.702,97",não,,2026-06-26T15:56:41
25333150000148,ALIA COMÉRCIO E SERVIÇOS DE SINALIZAÇÃO LTDA,1,"469.170,95",não,8,"111.973,27",não,,2026-06-26T15:56:41
00545482000165,NETWORLD TELECOMUNICAÇÕES DO BRASIL LTDA,1,"24.445,20",não,54,"109.419,14",não,,2026-06-26T15:56:41
28993675000106,O2 AMBIENTAL LTDA,1,"40.427,16",não,30,"106.435,33",não,,2026-06-26T15:56:41
03869166000137,BRTOP INDUSTRIA E COMERCIO DE MOVEIS LTDA,4,"212.020,00",não,3,"104.585,33",não,,2026-06-26T15:56:41
38325161000128,OTIS ENGENHARIA LTDA,1,"104.999,00",não,1,"102.899,02",não,,2026-06-26T15:56:41
08065700000176,EXITO DISTRIBUIDORA E COMÉRCIO DE LIVROS LTDA,1,"51.240,00",não,23,"102.233,85",não,,2026-06-26T15:56:41
60501293000112,EDITORA REVISTA DOS TRIBUNAIS LTDA,2,"53.367,99",não,4,"99.260,89",não,,2026-06-26T15:56:41
37142932000189,SISTEMA DE EMERGENCIA MOVEL DE BRASILIA,1,"58.500,00",não,26,"97.929,78",não,,2026-06-26T15:56:41
03389271000179,LETTERA EDITORIAL S/S LTDA,1,"100.500,00",não,3,"95.475,00",não,,2026-06-26T15:56:41
04615450000140,RALEDUC TECNOLOGIA E EDUCACAO LTDA,1,"99.880,10",não,3,"93.088,26",não,,2026-06-26T15:56:41
09087468000130,TECNO TRADE COMERCIO E SERVICOS DE EQUIPAMENTOS ELETRONICOS E SONORIZACAO LTDA.,1,"88.194,00",não,2,"88.194,00",não,,2026-06-26T15:56:41
40178968000127,PEDRO LACERDA NETO,1,"90.000,00",não,1,"87.966,00",não,,2026-06-26T15:56:41
46444068000160,BIOLIMP LIMPEZA APOIO E CONSERVACAO LTDA,1,"239.896,80",não,5,"87.681,20",não,,2026-06-26T15:56:41
01797423000147,GHS INDÚSTRIA E SERVIÇOS LTDA,1,"80.499,99",não,12,"84.712,81",não,,2026-06-26T15:56:41
01404158001838,PEARSON EDUCATION DO BRASIL LTDA,1,"44.510,74",não,3,"82.853,68",não,,2026-06-26T15:56:41
01011976000122,ORION TELECOMUNICAÇÕES ENGENHARIA S/A,1,"479.900,00",não,54,"82.191,39",não,,2026-06-26T15:56:41
22166193000198,ALGAR SOLUÇÕES EM TIC S/A | VOGEL SOLUÇÕES EM TELECOMUNICAÇÕES E INFORMÁTICA S.A.,2,"130.419,48",não,11,"81.721,46",não,,2026-06-26T15:56:41
13498257000167,CENTRO OESTE - PRESTADORA DE SERVIÇO DE DESINSETIZAÇÃO LTDA.,1,"25.951,80",não,43,"75.425,75",não,,2026-06-26T15:56:41
21416819000104,MAZIMU'S SERVICOS ESPECIALIZADOS LTDA,2,"370.137,34",não,17,"73.337,97",não,,2026-06-26T15:56:41
16754240000111,QUALITE DISTRIBUIDORA EIRELI,1,"69.969,08",não,2,"69.969,08",não,,2026-06-26T15:56:41
11311279000140,EUNICE MARIA GONCALVES DE OLIVEIRA,1,"37.418,06",não,22,"69.845,19",não,,2026-06-26T15:56:41
02434797000160,FATTO CONSULTORIA E SISTEMAS LTDA,2,"62.392,50",não,35,"69.428,68",não,,2026-06-26T15:56:41
10445514000104,SEISELLES DISTRIBUIÇÃO E LOGÍSTICA EIRELI,1,"16.049,16",não,3,"67.707,44",não,,2026-06-26T15:56:41
27433008000106,RF SOLUCOES DE PREVENCAO CONTRA QUEDA EM ALTURA LTDA,1,"69.844,46",não,3,"66.770,00",não,,2026-06-26T15:56:41
40566362000169,COSTA E GONCALVES EDIFICACOES LTDA,1,"148.300,00",não,2,"62.860,41",não,,2026-06-26T15:56:41
04041085000107,NARA COMERCIAL DE ALIMENTOS LTDA,1,"66.363,40",não,3,"61.731,39",não,,2026-06-26T15:56:41
44428382000124,"RTC SERVICOS DE MANUTENCAO, CONSERVACAO E LIMPEZA PREDIAL LTDA",1,"39.955,32",não,2,"60.623,74",não,,2026-06-26T15:56:41
06259738000154,SYS COMUNICACAO E TECNOLOGIA LTDA,1,"393.051,45",não,5,"60.160,62",não,,2026-06-26T15:56:41
61198164000160,PORTO SEGURO COMPANHIA DE SEGUROS GERAIS,1,"14.547,07",não,7,"60.094,38",não,,2026-06-26T15:56:41
34782400000118,MEDIC VITALL COMERCIO E SERVICOS HOSPITALARES LTDA,1,"72.776,35",não,4,"59.757,40",não,,2026-06-26T15:56:41
49889056000138,NATHALIA CHAVES CAVALCANTI,1,"53.610,00",não,2,"53.610,00",não,,2026-06-26T15:56:41
13331928000109,ACE COMUNICACAO E EDITORA LTDA,1,"53.600,00",não,1,"52.528,00",não,,2026-06-26T15:56:41
00707468000110,RD MOVEIS LTDA,1,"50.645,00",não,1,"50.645,00",não,,2026-06-26T15:56:41
23880630000284,WETALK TECNOLOGIA DA INFORMACAO LTDA,1,"52.920,00",não,1,"50.379,84",não,,2026-06-26T15:56:41
28927482000149,LIMA FARIA EMPREENDIMENTOS LTDA,1,"49.950,00",não,1,"49.950,00",não,,2026-06-26T15:56:41
38387756000108,MAXXIMUM CONSULTORIA LTDA,1,"48.344,05",não,4,"48.344,05",não,,2026-06-26T15:56:41
06164913000120,AMBIENTALIS ANALISES DE AMBIENTES LTDA,1,"11.580,00",não,9,"47.176,66",não,,2026-06-26T15:56:41
40298958000125,ARTEMIS SOLUCOES PREVENCAO CONTRA INCENDIO LTDA,1,"405.650,23",não,2,"45.529,84",não,,2026-06-26T15:56:41
21544041000119,DURAES CONSTRUCOES E REFORMAS LTDA,1,"77.999,99",não,2,"44.645,77",não,,2026-06-26T15:56:41
26968438000151,PRINCIPAL CONSTRUCOES LTDA,1,"93.383,01",não,23,"44.506,83",não,,2026-06-26T15:56:41
50268838000139,SARAIVA EDUCACAO S.A.,1,"22.800,00",não,2,"43.845,60",não,,2026-06-26T15:56:41
53431363000148,AFEFE TURISMO LTDA,1,"227.166,40",sim,5,"42.518,95",não,,2026-06-26T15:56:41
43217850000159,IOB INFORMACOES OBJETIVAS PUBLICACOES JURIDICAS LTDA,2,"17.897,13",não,5,"41.742,89",não,,2026-06-26T15:56:41
04743532000170,MARCIO SANDRO MALLET PEZARIM,3,"41.462,00",não,3,"41.462,00",não,,2026-06-26T15:56:41
90180605000102,GENTE SEGURADORA S/A,2,"20.195,88",não,4,"40.597,58",não,,2026-06-26T15:56:41
61160768000117,LEX EDITORA S A,1,"10.344,92",não,4,"40.239,92",não,,2026-06-26T15:56:41
30925451000109,ALESANDRA CIRILO CABOS IMPORTACAO E EXPORTACAO LTDA,1,"39.516,73",não,2,"39.516,73",não,,2026-06-26T15:56:41
02421421000111,TIM S.A.,1,"86.571,60",não,32,"37.888,32",não,,2026-06-26T15:56:41
34878390000119,E-LIVRO EDUCACIONAL LTDA,1,"20.098,71",não,3,"37.495,55",não,,2026-06-26T15:56:41
33402892000106,ASSOCIACAO BRASILEIRA DE NORMAS TECNICAS ABNT,1,"8.344,00",não,5,"37.411,08",não,,2026-06-26T15:56:41
09168704000142,EMPRESA BRASIL DE COMUNICAÇÃO S/A - EBC,1,"200.000,00",não,43,"37.127,44",não,,2026-06-26T15:56:41
03884308000135,DECORINTER INDÚSTRIA E COMÉRCIO LTDA,1,"126.268,00",não,3,"36.876,82",não,,2026-06-26T15:56:41
18607653000107,BIBLIOTHECA SISTEMAS DO BRASIL LTDA,1,"40.838,40",não,11,"35.638,35",não,,2026-06-26T15:56:41
30735649000111,RAFAPAPER DISTRIBUIDORA LTDA,1,"35.128,50",não,8,"33.959,90",não,,2026-06-26T15:56:41
28097989000112,CAMOA SERVICOS TELECOM LTDA,1,"76.672,56",sim,6,"32.913,89",não,,2026-06-26T15:56:41
41445037000100,NKSTECH SOLUCOES CORPORATIVAS LTDA,1,"32.196,71",não,2,"32.196,71",não,,2026-06-26T15:56:41
13544130000137,DROGARIA LIBERAL E PEREIRA EIRELI,1,"32.065,84",não,6,"32.000,16",não,,2026-06-26T15:56:41
12086330000120,MEGA SOLUCOES CIENTIFICAS E LOCACAO EIRELI,1,"34.999,92",não,3,"31.569,93",não,,2026-06-26T15:56:41
32005178000111,EMGESA EMPRESA DE GERENCIAMENTO DE SOBRESSALENTES E AUTOMACAO LTDA,1,"27.100,00",não,4,"27.100,00",não,,2026-06-26T15:56:41
20819329000196,ALCANCE VIBE LTDA,1,"33.800,00",não,1,"25.350,00",não,,2026-06-26T15:56:41
04491152000195,4LINUX SOFTWARE E COMERCIO DE PROGRAMAS LTDA,1,"24.995,00",não,1,"23.795,24",não,,2026-06-26T15:56:41
51311014000167,LAG LICENCIAMENTOS DE SOFTWARES LTDA,2,"23.282,15",não,2,"22.352,04",não,,2026-06-26T15:56:41
00059857000187,CENTRO UNIVERSITARIO DE BRASÍLIA - UniCEUB,1,"0,00",não,15,"21.966,50",não,,2026-06-26T15:56:41
17839055000192,ESTRUTTOS LTDA,2,"21.917,91",não,2,"21.917,91",não,,2026-06-26T15:56:41
22823243000162,D´SOUZA ENG MANUTENCOES E INSTALACOES ELETRICAS EIRELI,1,"110.000,00",não,2,"21.562,18",não,,2026-06-26T15:56:41
39951337000110,LAB OF CODES SOLUCOES DIGITAIS LTDA,1,"26.000,00",não,5,"21.398,11",não,,2026-06-26T15:56:41
06963327000145,ASSOCIAÇÃO BRASILEIRA DE TELEVISÃO E RÁDIOS LEGISLATIVAS - ASTRAL,1,"6.000,00",não,5,"21.001,00",não,,2026-06-26T15:56:41
33520545000188,2A FABRICACAO DE ESQUADRIAS DE ACO LTDA,1,"20.999,77",não,1,"20.999,77",não,,2026-06-26T15:56:41
