ano,cargo_efetivo,cargo_em_comissao_ou_funcao,linhas,matriculas_distintas,creditos,descontos,auxilios,liquido
2012,TÉCNICO LEGISLATIVO,CARGO EM COMISSAO DE ASSISTÊNCIA,36,8,"0,00","0,00","0,00","311.820,18"
2012,TÉCNICO LEGISLATIVO,CARGO EM COMISSAO DE SUPERVISAO,74,18,"0,00","0,00","0,00","690.481,08"
2012,TÉCNICO LEGISLATIVO,CARGO EM COMISSÃO,3,3,"0,00","0,00","0,00","18.756,99"
2012,TÉCNICO LEGISLATIVO,CARGO EM COMISSÃO DE ASSESSORAMENTO,21,5,"0,00","0,00","0,00","161.100,91"
2012,TÉCNICO LEGISLATIVO,CHEFE DE DIVISAO,5,1,"0,00","0,00","0,00","49.811,38"
2012,TÉCNICO LEGISLATIVO,CHEFE DE NUCLEO DE APOIO,5,1,"0,00","0,00","0,00","64.145,52"
2012,TÉCNICO LEGISLATIVO,CHEFE DE SECAO,35,7,"0,00","0,00","0,00","412.204,37"
2012,TÉCNICO LEGISLATIVO,CHEFE DE SETOR,50,10,"0,00","0,00","0,00","650.531,15"
2012,TÉCNICO LEGISLATIVO,COORDENADOR,5,1,"0,00","0,00","0,00","83.898,05"
2012,TÉCNICO LEGISLATIVO,COORDENADOR DE COMISSAO,5,1,"0,00","0,00","0,00","49.098,81"
2012,TÉCNICO LEGISLATIVO,DEPUTADO DISTRITAL,2,1,"0,00","0,00","0,00","20.526,11"
2012,TÉCNICO LEGISLATIVO,DEPUTADO DISTRITAL DEPUTADO DISTRITAL,1,1,"0,00","0,00","0,00","5.578,31"
2012,TÉCNICO LEGISLATIVO,MEMBRO TITULAR/VICE- PRESIDENTE,5,1,"0,00","0,00","0,00","63.798,29"
2012,TÉCNICO LEGISLATIVO,MEMBRO-TITULAR,5,1,"0,00","0,00","0,00","40.913,74"
2012,Téc. Legislativo,,194,194,"0,00","0,00","0,00","1.556.076,78"
2012,Téc. Legislativo,ASSESSOR DE APOIO ATIV.PLENARIO,1,1,"0,00","0,00","0,00","10.883,86"
2012,Téc. Legislativo,CARGO EM COMISSAO DE ASSESSORAMENTO,4,4,"0,00","0,00","0,00","28.884,26"
2012,Téc. Legislativo,CARGO EM COMISSAO DE ASSISTENCIA,8,8,"0,00","0,00","0,00","66.026,99"
2012,Téc. Legislativo,CARGO EM COMISSAO DE SUPERVISAO,16,16,"0,00","0,00","0,00","150.184,65"
2012,Téc. Legislativo,CHEFE DE DIVISAO,1,1,"0,00","0,00","0,00","12.278,68"
2012,Téc. Legislativo,CHEFE DE NUCLEO DE APOIO,1,1,"0,00","0,00","0,00","10.255,52"
2012,Téc. Legislativo,CHEFE DE SECAO,7,7,"0,00","0,00","0,00","92.651,63"
2012,Téc. Legislativo,CHEFE DE SETOR,10,10,"0,00","0,00","0,00","140.699,20"
2012,Téc. Legislativo,COORDENADOR,1,1,"0,00","0,00","0,00","16.970,35"
2012,Téc. Legislativo,COORDENADOR DE COMISSAO,1,1,"0,00","0,00","0,00","9.582,69"
2012,Téc. Legislativo,MEMBRO TITULAR/VICE- PRESIDENTE,1,1,"0,00","0,00","0,00","12.135,46"
2012,Téc. Legislativo,MEMBRO-TITULAR,1,1,"0,00","0,00","0,00","8.706,11"
2013,,,448,43,"628.964,66","'-170.135,62","0,00","1.729.315,78"
2013,,ASSESSOR,149,23,"281.939,67","'-96.289,24","0,00","662.385,97"
2013,,ASSESSOR  DE COMISSAO,9,2,"0,00","0,00","0,00","43.735,30"
2013,,ASSESSOR  DE COORDENADORIA,9,2,"0,00","0,00","0,00","50.892,49"
2013,,ASSESSOR  DE PRODUCAO GRAFICA,8,1,"0,00","0,00","0,00","25.204,43"
2013,,ASSESSOR  DE SEGURANCA,7,2,"0,00","0,00","0,00","20.927,19"
2013,,ASSESSOR CHEFE GAB. VICE-PRESIDENCIA,12,3,"32.733,93","'-8.717,75","0,00","100.817,70"
2013,,ASSESSOR CL-10,24,4,"42.953,28","'-12.237,68","0,00","114.877,48"
2013,,ASSESSOR CL-11,9,1,"23.862,96","'-6.693,28","0,00","58.878,22"
2013,,ASSESSOR CL-12,12,1,"20.429,70","'-5.153,06","0,00","73.818,08"
2013,,ASSESSOR DA ASSESSORIA DE,2,2,"0,00","0,00","0,00","9.406,53"
2013,,ASSESSOR DA ASSESSORIA DE PLENARIO E DISTRIBUICAO,10,2,"23.862,96","'-12.090,30","0,00","45.478,61"
2013,,ASSESSOR DA PRG,12,1,"23.862,96","'-5.789,95","0,00","80.747,14"
2013,,ASSESSOR DA PROCURADORIA GERAL,12,1,"32.733,93","'-8.376,31","0,00","87.193,48"
2013,,ASSESSOR DE,2,2,"0,00","0,00","0,00","5.097,28"
2013,,ASSESSOR DE CHEFE DE SETOR,24,3,"52.260,71","'-20.269,78","0,00","109.603,25"
2013,,ASSESSOR DE CHEFE GAB. PRESIDENCIA,12,1,"32.733,93","'-14.466,75","0,00","90.110,30"
2013,,ASSESSOR DE COMISSAO,111,17,"224.621,47","'-71.707,21","0,00","652.258,36"
2013,,ASSESSOR DE COMISSÃO,11,2,"23.862,96","'-9.994,39","0,00","64.027,84"
2013,,ASSESSOR DE COORDENADORIA,58,8,"116.430,10","'-45.782,94","0,00","325.881,26"
2013,,ASSESSOR DE DIRETOR - DAF,12,1,"32.733,93","'-8.578,88","0,00","107.553,61"
2013,,ASSESSOR DE DIRETOR - DLEG,12,2,"32.515,70","'-9.947,50","0,00","90.759,05"
2013,,ASSESSOR DE DIRETOR - DRH,12,3,"32.733,93","'-11.490,82","0,00","70.175,42"
2013,,ASSESSOR DE DIRETORIA,36,5,"73.458,63","'-36.019,34","0,00","178.616,29"
2013,,ASSESSOR DE MANUTENCAO,12,1,"10.272,09","'-4.999,61","0,00","27.146,95"
2013,,ASSESSOR DE MEMBRO DA MESA DIR.,36,4,"104.960,80","'-29.334,00","0,00","294.415,97"
2013,,ASSESSOR DE MEMBRO DA MESA DIR. -,5,1,"32.733,93","'-17.199,13","0,00","25.885,08"
2013,,ASSESSOR DE MEMBRO DA MESA DIRETORA,7,1,"0,00","0,00","0,00","45.114,20"
2013,,ASSESSOR DE PRODUCAO GRAFICA,21,4,"0,00","0,00","0,00","60.807,90"
2013,,ASSESSOR DE SEGURANCA,277,36,"158.520,75","'-42.929,83","0,00","648.181,56"
2013,,ASSESSOR DO GABINETE DA MESA DIR,12,2,"32.733,93","'-6.968,68","0,00","103.424,22"
2013,,ASSESSOR ESPECIAL,60,7,"144.062,59","'-60.972,55","0,00","412.836,98"
2013,,ASSESSOR JURIDICO,32,5,"52.734,23","'-12.853,43","0,00","228.744,76"
2013,,ASSESSOR MEMBRO DA MESA DIRETORA,12,4,"32.733,93","'-7.354,90","0,00","96.846,50"
2013,,ASSESSOR MESA DIRETORA,12,1,"30.049,56","'-6.275,78","0,00","84.078,32"
2013,,ASSESSOR PRESIDENCIA,22,4,"47.725,92","'-16.144,20","0,00","118.168,30"
2013,,ASSESSOR PRIMEIRA SECRETARIA,12,3,"23.862,96","'-4.871,56","0,00","75.816,94"
2013,,ASSESSOR SEGUNDA SECRETARIA,12,2,"23.862,96","'-10.172,98","0,00","62.914,71"
2013,,ASSESSOR TERCEIRA SECRETARIA,12,2,"23.862,96","'-5.037,97","0,00","83.707,99"
2013,,ASSESSOR VICE- PRESIDENCIA,12,1,"23.862,96","'-5.639,35","0,00","83.084,01"
2013,,CARGO DE NATUREZA ESPECIAL,580,70,"1.857.907,76","'-604.494,00","0,00","5.808.266,14"
2013,,CARGO ESPECIAL DE,9,9,"0,00","0,00","0,00","31.121,61"
2013,,CARGO ESPECIAL DE GABINETE,6382,735,"8.715.259,58","'-2.715.622,85","0,00","24.389.794,59"
2013,,CHEFE DE ASSESSORIA,36,3,"128.105,37","'-44.046,64","0,00","375.747,47"
2013,,CHEFE DE DIVISAO,103,14,"298.651,52","'-95.134,31","0,00","866.622,29"
2013,,CHEFE DE GAB. PARLAMENTAR,56,11,"201.651,20","'-64.583,84","0,00","553.476,87"
2013,,CHEFE DE GABINETE DE MEMBRO DA MESA,55,9,"174.292,94","'-61.490,31","0,00","504.186,17"
2013,,CHEFE DE GABINETE PARLAMENTAR,59,6,"205.238,58","'-65.339,86","0,00","580.927,29"
2013,,CHEFE DE SECAO,48,6,"114.028,22","'-44.674,70","0,00","279.682,35"
2013,,CHEFE DE SEÇÃO,12,1,"30.619,04","'-11.914,50","0,00","95.863,28"
2013,,CHEFE GAB. PARLAMENTAR,106,11,"386.185,86","'-127.098,62","0,00","1.015.369,27"
2013,,CHEFE GAB. WASNY DE ROURE,12,1,"53.772,46","'-18.122,33","0,00","123.247,30"
2013,,COORDENADOR,51,6,"139.140,41","'-61.107,78","0,00","355.812,55"
2013,,COORDENADOR DE ACOMPANHAMENTO DE REGULAMENTAÇÃO DE LEIS,3,1,"36.371,04","'-10.578,55","0,00","25.792,49"
2013,,COORDENADOR DE POLICIA LEGISLATIVA,7,3,"15.394,55","'-3.623,41","0,00","44.819,11"
2013,,DEPUTADO DISTRITAL,168,26,"1.447.410,79","'-524.504,30","0,00","2.143.882,34"
2013,,DIRETOR,30,5,"74.032,05","'-30.567,10","0,00","195.781,99"
2013,,GERENTE COORDENADOR-FASCAL,8,2,"37.436,89","'-15.920,45","0,00","71.238,46"
2013,,MEMBRO-TITULAR,16,2,"26.514,42","'-14.751,67","0,00","76.951,99"
2013,,PRESIDENTE CPL,8,2,"32.733,93","'-7.394,32","0,00","68.241,92"
