ano,tipoProposicao,autor_id,autor,apresentadas,aprovadas,rejeitadas,pendentes,nao_se_aplica,inclassificavel
2022,Projeto de Resolução,33,Deputado Robério Negreiros,2,0,0,2,0,0
2022,Projeto de Resolução,36,Deputado Valdelino Barcelos,1,0,0,1,0,0
2022,Projeto de Resolução,56,Mesa Diretora,1,0,0,1,0,0
2022,Proposta de Emenda à Lei Orgânica,14,Deputada Arlete Sampaio,1,0,0,1,0,0
2022,Proposta de Emenda à Lei Orgânica,24,Deputada Jaqueline Silva,2,0,0,2,0,0
2022,Proposta de Emenda à Lei Orgânica,28,Deputada Júlia Lucy,1,0,0,1,0,0
2022,Proposta de Emenda à Lei Orgânica,13,Deputado Agaciel Maia,2,0,0,2,0,0
2022,Proposta de Emenda à Lei Orgânica,15,Deputado Chico Vigilante,3,0,0,3,0,0
2022,Proposta de Emenda à Lei Orgânica,16,Deputado Claudio Abrantes,2,0,0,2,0,0
2022,Proposta de Emenda à Lei Orgânica,17,Deputado Daniel Donizet,1,0,0,1,0,0
2022,Proposta de Emenda à Lei Orgânica,18,Deputado Delmasso,2,0,0,2,0,0
2022,Proposta de Emenda à Lei Orgânica,19,Deputado Eduardo Pedrosa,1,0,0,1,0,0
2022,Proposta de Emenda à Lei Orgânica,20,Deputado Fábio Felix,2,0,0,2,0,0
2022,Proposta de Emenda à Lei Orgânica,22,Deputado Hermeto,1,0,0,1,0,0
2022,Proposta de Emenda à Lei Orgânica,23,Deputado Iolando,2,0,0,2,0,0
2022,Proposta de Emenda à Lei Orgânica,26,Deputado Jorge Vianna,1,0,0,1,0,0
2022,Proposta de Emenda à Lei Orgânica,27,Deputado José Gomes,1,0,0,1,0,0
2022,Proposta de Emenda à Lei Orgânica,25,Deputado João Cardoso ,2,0,0,2,0,0
2022,Proposta de Emenda à Lei Orgânica,29,Deputado Leandro Grass,2,0,0,2,0,0
2022,Proposta de Emenda à Lei Orgânica,30,Deputado Martins Machado,1,0,0,1,0,0
2022,Proposta de Emenda à Lei Orgânica,32,Deputado Professor Reginaldo Veras,3,0,0,3,0,0
2022,Proposta de Emenda à Lei Orgânica,35,Deputado Reginaldo Sardinha,1,0,0,1,0,0
2022,Proposta de Emenda à Lei Orgânica,33,Deputado Robério Negreiros,2,0,0,2,0,0
2022,Proposta de Emenda à Lei Orgânica,34,Deputado Roosevelt Vilela,1,0,0,1,0,0
2022,Proposta de Emenda à Lei Orgânica,36,Deputado Valdelino Barcelos,1,0,0,1,0,0
2022,Proposta de Emenda à Lei Orgânica,6,Poder Executivo,2,0,0,2,0,0
2022,Recurso,28,Deputada Júlia Lucy,1,0,0,0,1,0
2022,Requerimento,48,Comissão de Educação Saúde e Cultura,5,0,0,0,5,0
2022,Requerimento,42,Defensoria Pública do Distrito Federal,1,0,0,0,1,0
2022,Requerimento,14,Deputada Arlete Sampaio,63,0,0,0,63,0
2022,Requerimento,24,Deputada Jaqueline Silva,43,0,0,0,43,0
2022,Requerimento,28,Deputada Júlia Lucy,103,0,0,0,103,0
2022,Requerimento,54,Deputada Maria Antônia Rodrigues Magalhães (Professora Maria Antônia),4,0,0,0,4,0
2022,Requerimento,13,Deputado Agaciel Maia,55,0,0,0,55,0
2022,Requerimento,55,Deputado Carlos Alberto Rodrigues Tabanez,2,0,0,0,2,0
2022,Requerimento,15,Deputado Chico Vigilante,42,0,0,0,42,0
2022,Requerimento,16,Deputado Claudio Abrantes,54,0,0,0,54,0
2022,Requerimento,17,Deputado Daniel Donizet,10,0,0,0,10,0
2022,Requerimento,21,Deputado Delegado Fernando Fernandes,7,0,0,0,7,0
2022,Requerimento,18,Deputado Delmasso,22,0,0,0,22,0
