deputado,chave,ano,mes,locacao_e_manutencao_de_imoveis,locacao_de_maquinas_e_equipamentos,aquisicao_de_material,locacao_de_veiculos,combustivel_e_lubrificante,assessoria_ou_consultoria_juridica,assessoria_ou_consultoria_especializada,divulgacao_de_atividade_parlamentar,outros,soma_das_rubricas,total_no_quadro,rubricas_somam,glosa,teto_mensal_autorizado,linhas_do_painel,as_of
HERMETO,HERMETO,2023,4,0.00,0.00,0.00,5500.00,2281.66,0.00,0.00,4000.00,0.00,11781.66,11781.66,sim,0.00,18472.91,1,2026-09-01
HERMETO,HERMETO,2023,5,0.00,0.00,0.00,5500.00,1621.71,0.00,0.00,4000.00,0.00,11121.71,11121.71,sim,0.00,18472.91,1,2026-09-01
HERMETO,HERMETO,2023,6,0.00,0.00,0.00,5500.00,2262.27,0.00,0.00,4000.00,0.00,11762.27,11762.27,sim,0.00,18472.91,1,2026-09-01
HERMETO,HERMETO,2023,7,3981.82,0.00,0.00,5500.00,2223.00,0.00,0.00,4000.00,0.00,15704.82,15704.82,sim,0.00,18472.91,1,2026-09-01
HERMETO,HERMETO,2023,8,3924.11,0.00,0.00,5500.00,2015.23,0.00,0.00,4000.00,0.00,15439.34,15439.34,sim,0.00,18472.91,1,2026-09-01
HERMETO,HERMETO,2023,9,3958.47,0.00,0.00,5500.00,2365.59,0.00,0.00,4000.00,0.00,15824.06,15824.06,sim,0.00,18472.91,1,2026-09-01
HERMETO,HERMETO,2023,10,4036.71,0.00,0.00,5500.00,2431.73,0.00,0.00,4000.00,0.00,15968.44,15968.44,sim,0.00,18472.91,1,2026-09-01
HERMETO,HERMETO,2023,11,4104.25,0.00,0.00,5500.00,2468.75,0.00,0.00,4000.00,0.00,16073.00,16073.00,sim,0.00,18472.91,1,2026-09-01
HERMETO,HERMETO,2023,12,4213.74,0.00,0.00,5500.00,2686.19,0.00,0.00,4000.00,0.00,16399.93,16399.93,sim,0.00,18472.91,1,2026-09-01
HERMETO,HERMETO,2024,1,4060.43,0.00,0.00,5500.00,924.16,0.00,0.00,4000.00,0.00,14484.59,14484.59,sim,0.00,18472.91,1,2026-09-01
HERMETO,HERMETO,2024,2,3961.21,0.00,0.00,5500.00,2245.82,0.00,0.00,4000.00,0.00,15707.03,15707.03,sim,0.00,19803.83,1,2026-09-01
HERMETO,HERMETO,2024,3,4098.61,0.00,0.00,5500.00,1794.96,0.00,0.00,4000.00,0.00,15393.57,15393.57,sim,0.00,19803.83,1,2026-09-01
HERMETO,HERMETO,2024,4,4176.68,0.00,0.00,5500.00,1950.00,0.00,0.00,4000.00,0.00,15626.68,15626.68,sim,0.00,19803.83,1,2026-09-01
HERMETO,HERMETO,2024,5,4059.60,0.00,0.00,5500.00,1921.71,0.00,0.00,4000.00,0.00,15481.31,15481.31,sim,0.00,19803.83,1,2026-09-01
HERMETO,HERMETO,2024,6,4067.89,0.00,0.00,5500.00,1149.97,0.00,0.00,4000.00,0.00,14717.86,14717.86,sim,0.00,19803.83,1,2026-09-01
HERMETO,HERMETO,2024,7,4051.06,0.00,0.00,5500.00,1062.75,0.00,0.00,4000.00,0.00,14613.81,14613.81,sim,0.00,19803.83,1,2026-09-01
HERMETO,HERMETO,2024,8,3928.63,0.00,0.00,5500.00,1915.34,0.00,0.00,4000.00,0.00,15343.97,15343.97,sim,0.00,19803.83,1,2026-09-01
HERMETO,HERMETO,2024,9,3968.77,0.00,0.00,5500.00,1553.54,0.00,0.00,4000.00,0.00,15022.31,15022.31,sim,0.00,19803.83,1,2026-09-01
HERMETO,HERMETO,2024,10,4116.58,0.00,0.00,5500.00,2523.33,0.00,0.00,4000.00,0.00,16139.91,16139.91,sim,0.00,19803.83,1,2026-09-01
