ano,data_da_emenda,id_emenda,lei,nr_emenda,programa_de_trabalho,programa_de_trabalho_compartilhado,status,cod_unidade_orcamentaria,unidade_orcamentaria,vl_emenda,vl_lei_alteracao,vl_bloqueado_siggo,vl_disponivel,vl_empenhado,vl_desbloqueado,vl_saldo_a_solicitar,vl_liquidado,as_of
2021,2021-04-23,629,LOA - 6778/2021(PL1417-2021),00515.01,27.811.6206.9080.0081,não,ATIVO,340101,SECRETARIA DE ESTADO DO ESPORTE E LAZER DO DISTRITO FEDERAL,"1.267.000,00","1.267.000,00","0,00","154,17","1.266.845,83","1.300.000,00","'-33.000,00","1.266.845,83",2025-12-16T18:14:28.151388
2021,2021-04-16,630,LOA - 6778/2021(PL1417-2021),00155.01,10.302.6202.9107.0071,não,CANCELADO,170901,FUNDO DE SAÚDE DO DISTRITO FEDERAL,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
2021,2023-01-04,631,LOA - 6778/2021(PL1417-2021),00235.01,14.422.6211.9107.0080,não,ATIVO,440101,SECRETARIA DE ESTADO DE JUSTIÇA E CIDADANIA,"0,00","0,00","0,00","0,00","0,00","0,00","'-148.158,00","0,00",2025-12-16T18:14:28.151388
2021,2021-04-16,632,LOA - 6778/2021(PL1417-2021),00098.01,19.573.6207.9118.0015,não,CANCELADO,650101,"SECRETARIA DE ESTADO DE CIÊNCIA, TECNOLOGIA E INOVAÇÃO DO DISTRITO FEDERAL","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
2021,2021-04-29,633,LOA - 6778/2021(PL1417-2021),00175.01,18.541.6210.9121.0004,não,ATIVO,150101,SECRETARIA DE ESTADO DO MEIO AMBIENTE,"310.000,00","310.000,00","0,00","0,00","310.000,00","310.000,00","0,00","310.000,00",2025-12-16T18:14:28.151388
2021,2021-04-29,635,LOA - 6778/2021(PL1417-2021),00183.01,18.541.6210.9121.0005,não,ATIVO,280208,INSTITUTO DO MEIO AMBIENTE E DOS RECURSOS HÍDRICOS DO DISTRITO FEDERAL,"420.000,00","420.000,00","0,00","100.000,00","320.000,00","420.000,00","0,00","320.000,00",2025-12-16T18:14:28.151388
2021,2021-02-01,637,LOA - 6778/2021(PL1417-2021),00238.01,13.392.6219.9075.0182,não,CANCELADO,230101,SECRETARIA DE ESTADO DE CULTURA E ECONOMIA CRIATIVA DO DISTRITO FEDERAL,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
2021,2021-04-26,638,LOA - 6778/2021(PL1417-2021),00531.01,13.392.6219.9075.0201,não,ATIVO,230101,SECRETARIA DE ESTADO DE CULTURA E ECONOMIA CRIATIVA DO DISTRITO FEDERAL,"280.000,00","280.000,00","0,00","0,00","280.000,00","280.000,00","0,00","280.000,00",2025-12-16T18:14:28.151388
2021,2021-04-29,639,LOA - 6778/2021(PL1417-2021),00168.01,13.392.6219.9075.0168,não,ATIVO,230101,SECRETARIA DE ESTADO DE CULTURA E ECONOMIA CRIATIVA DO DISTRITO FEDERAL,"1.768.000,00","1.768.000,00","0,00","118.017,63","1.649.982,37","1.768.000,00","0,00","1.649.982,37",2025-12-16T18:14:28.151388
2021,2021-04-16,640,LOA - 6778/2021(PL1417-2021),00097.01,13.392.6219.9075.0174,não,ATIVO,230101,SECRETARIA DE ESTADO DE CULTURA E ECONOMIA CRIATIVA DO DISTRITO FEDERAL,"1.300.000,00","1.300.000,00","0,00","105.579,60","1.194.420,40","1.300.000,00","0,00","1.194.420,40",2025-12-16T18:14:28.151388
