ano,tipo_votacao,co_materia,materia,data,votos_sim,votos_nao,abstencoes,votos_nao_informado,total_votos,as_of,ementa
2023,NOMINAL,7049,EMENDA Nº 17 AO PL Nº 3069/2023,2023-06-20,7,16,0,0,23,2026-08-27,DISPÕE SOBRE A PRESTAÇÃO DOS SERVIÇOS PÚBLICOS DE ILUMINAÇÃO PÚBLICA.
2023,NOMINAL,7050,EMENDA Nº 18 AO PL Nº 3069/2023,2023-06-20,0,23,0,0,23,2026-08-27,DISPÕE SOBRE A PRESTAÇÃO DOS SERVIÇOS PÚBLICOS DE ILUMINAÇÃO PÚBLICA.
2023,NOMINAL,7051,EMENDA Nº 19 AO PL Nº 3069/2023,2023-06-20,8,15,0,0,23,2026-08-27,DISPÕE SOBRE A PRESTAÇÃO DOS SERVIÇOS PÚBLICOS DE ILUMINAÇÃO PÚBLICA.
2023,NOMINAL,7052,EMENDA Nº 20 AO PL Nº 3069/2023,2023-06-20,6,17,0,0,23,2026-08-27,DISPÕE SOBRE A PRESTAÇÃO DOS SERVIÇOS PÚBLICOS DE ILUMINAÇÃO PÚBLICA.
2023,NOMINAL,7053,EMENDA Nº 21 AO PL Nº 3069/2023,2023-06-20,7,16,0,0,23,2026-08-27,DISPÕE SOBRE A PRESTAÇÃO DOS SERVIÇOS PÚBLICOS DE ILUMINAÇÃO PÚBLICA.
2023,NOMINAL,7114,1º TURNO PROJETO DE LEI COMPLEMENTAR Nº 24/2023,2023-06-27,21,0,1,0,22,2026-08-27,"DISPÕE SOBRE A TRANSFORMAÇÃO DOS CARGOS DA CARREIRA 
EM EXTINÇÃO DE PROCURADOR (QE), DE QUE TRATA A LEI COMPLEMENTAR 914, DE 2 DE SETEMBRO DE 2016, EM CARGOS DA CARREIRA DE PROCURADOR DO DISTRITO FEDERAL"
2023,NOMINAL,7115,2º TURNO PROJETO DE LEI COMPLEMENTAR Nº 24/2023,2023-06-27,20,0,0,0,20,2026-08-27,"DISPÕE SOBRE A TRANSFORMAÇÃO DOS CARGOS DA CARREIRA 
EM EXTINÇÃO DE PROCURADOR (QE), DE QUE TRATA A LEI COMPLEMENTAR 914, DE 2 DE SETEMBRO DE 2016, EM CARGOS DA CARREIRA DE PROCURADOR DO DISTRITO FEDERAL"
2023,NOMINAL,7132,1º TURNO DA EMENDA DESTACADA Nº 35 AO PL Nº 323/2023,2023-06-27,21,0,0,0,21,2026-08-27,"SOBRE O PROJETO DE LEI Nº 323/2023, QUE ABRE CRÉDITO ESPECIAL À LEI ORÇAMENTÁRIA ANUAL DO DISTRITO FEDERAL NO VALOR DE R$ 210.000,00."
2023,NOMINAL,7144,1º TURNO PROJETO DE LEI COMPLEMENTAR Nº 18/2023,2023-06-27,22,0,0,0,22,2026-08-27,NÃO INFORMADO
2023,NOMINAL,7154,1º TURNO PROJETO DE LEI COMPLEMENTAR Nº 108/2023,2023-06-27,17,0,0,0,17,2026-08-27,"ALTERA A REDAÇÃO DO ARTIGO 27 DA LEI COMPLEMENTAR Nº 264, DE 14 DE DEZEMBRO DE 1999, PARA ESTABELECER ISENÇÃO DE TAXA PARA EMISSÃO DE SEGUNDA VIA DE IDENTIDADE CIVIL PARA PESSOAS TRAVESTIS E TRANSEXUAIS."
2023,NOMINAL,7155,2º TURNO PROJETO DE LEI COMPLEMENTAR Nº 108/2023,2023-06-27,16,0,0,0,16,2026-08-27,"ALTERA A REDAÇÃO DO ARTIGO 27 DA LEI COMPLEMENTAR Nº 264, DE 14 DE DEZEMBRO DE 1999, PARA ESTABELECER ISENÇÃO DE TAXA PARA EMISSÃO DE SEGUNDA VIA DE IDENTIDADE CIVIL PARA PESSOAS TRAVESTIS E TRANSEXUAIS."
2023,NOMINAL,7167,BLOCO PDL 27.06.2023,2023-06-27,17,0,0,0,17,2026-08-27,"PROJETOS DE DECRETO LEGISLATIVO N° 17, 167 E 233, TODOS DE 2023."
2023,NOMINAL,7171,PARECER CCJ AO PDL Nº 34/2023,2023-06-27,11,7,0,0,18,2026-08-27,NÃO INFORMADO
2023,NOMINAL,7183,2º TURNO PROJETO DE LEI Nº 373/2023,2023-06-27,16,0,0,0,16,2026-08-27,NÃO INFORMADO
2023,NOMINAL,7214,BLOCO REQUERIMENTOS 15.08.2023,2023-08-15,16,0,0,0,16,2026-08-27,"REQUERIMENTOS Nº 692, 702, 713, 721, 745, 746, 749, 768, 773, 774 E 780, TODOS DE 2023."
2023,NOMINAL,7236,TURNO ÚNICO MOÇÃO Nº 294/2023,2023-09-19,18,2,2,0,22,2026-08-27,MANIFESTA APOIO INCONDICIONAL ÀS NOSSAS PROFESSORAS E PROFESSORES EM VIRTUDE DA SUA COMPARAÇÃO A TRAFICANTES DE DROGAS.
2023,NOMINAL,7252,BLOCO REQUERIMENTOS 19.09.2023,2023-09-19,19,0,0,0,19,2026-08-27,"REQUERIMENTOS Nº 776, 824, 825, 827, 837, 843, 844, 848, 869, 870, 874 E 875, TODOS DE 2023."
2023,NOMINAL,7253,VETO PARCIAL PROJETO DE LEI Nº 371/2023,2023-08-22,1,22,0,0,23,2026-08-27,"VETO AO ART. 32, § 1º, E ART. 98, DO PL 371 DE 2023, QUE DISPÕE SOBRE AS DIRETRIZES ORÇAMENTÁRIAS PARA O EXERCÍCIO FINANCEIRO DE 2024 E DÁ OUTRAS PROVIDÊNCIAS."
2023,NOMINAL,7270,1º TURNO DO PROJETO DE RESOLUÇÃO Nº 18/2023,2023-08-29,15,3,0,0,18,2026-08-27,"DISPÕE SOBRE A CONCESSÃO DOS TÍTULOS DE CIDADÃO HONORÁRIO DE BRASÍLIA E DE CIDADÃO BENEMÉRITO DE BRASÍLIA, CONFORME PREVÊ O ART. 60, XLI, DA LEI ORGÂNICA DO DISTRITO FEDERAL, E DÁ OUTRAS PROVIDÊNCIAS."
