id_emenda,ano,nr_emenda,declarada_no_painel,declarada_no_portal,vl_lei_alteracao_painel,vl_lei_alteracao_portal,diferenca,vl_empenhado_painel,vl_empenhado_portal,diferenca_empenhado,motivo_da_ausencia,as_of_painel,as_of_portal
2114,2022,00032.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2115,2022,00033.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2116,2022,00034.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2117,2022,00035.01,não,sim,,"1.350.000,00",,,"1.350.000,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2118,2022,00036.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2119,2022,00037.01,não,sim,,"800.000,00",,,"800.000,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2120,2022,00038.01,não,sim,,"600.000,00",,,"400.000,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2121,2022,00039.01,não,sim,,"350.000,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2122,2022,00040.01,não,sim,,"350.000,00",,,"349.587,08",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2123,2022,00041.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2124,2022,00042.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2125,2022,00043.01,não,sim,,"350.000,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2126,2022,00044.01,não,sim,,"240.000,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2127,2022,00045.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2128,2022,00375.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2129,2022,00376.01,não,sim,,"3.720.000,00",,,"3.710.000,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2130,2022,00377.01,não,sim,,"300.000,00",,,"300.000,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2131,2022,00378.01,não,sim,,"1.700.000,00",,,"1.700.000,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2132,2022,00379.01,não,sim,,"1.913.505,00",,,"1.913.504,01",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2133,2022,00380.01,não,sim,,"1.647.285,00",,,"1.496.984,82",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2134,2022,00381.01,não,sim,,"620.000,00",,,"620.000,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2135,2022,00382.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2136,2022,00383.01,não,sim,,"800.000,00",,,"599.438,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2137,2022,00384.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2138,2022,00385.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2139,2022,00386.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2140,2022,00387.01,não,sim,,"1.279.554,00",,,"1.279.552,39",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2141,2022,00388.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2142,2022,00390.01,não,sim,,"700.000,00",,,"700.000,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2143,2022,00393.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2144,2022,00394.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2145,2022,00395.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2146,2022,00396.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2147,2022,00518.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2148,2022,00527.01,não,sim,,"500.000,00",,,"500.000,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2149,2022,00577.01,não,sim,,"800.000,00",,,"800.000,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2150,2022,00551.01,não,sim,,"516,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2151,2022,00552.01,não,sim,,"700.000,00",,,"700.000,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2152,2022,00553.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2153,2022,00555.01,não,sim,,"30.000,00",,,"30.000,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2154,2022,00556.01,não,sim,,"1.000,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2155,2022,00557.01,não,sim,,"1.605.975,00",,,"1.599.960,66",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2156,2022,00558.01,não,sim,,"1.060.000,00",,,"1.059.740,14",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2157,2022,00559.01,não,sim,,"4.663.500,00",,,"4.663.500,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2158,2022,00560.01,não,sim,,"2.680.000,00",,,"1.958.215,81",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2159,2022,00561.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2160,2022,00562.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2161,2022,00563.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2162,2022,00564.01,não,sim,,"600.000,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2163,2022,00565.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2164,2022,00566.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2165,2022,00567.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2166,2022,00568.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2167,2022,00569.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2168,2022,00570.01,não,sim,,"500,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2169,2022,00571.01,não,sim,,"1.031,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2170,2022,00597.01,não,sim,,"500.000,00",,,"500.000,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2171,2022,00600.01,não,sim,,"1.000.000,00",,,"1.000.000,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2172,2022,00602.01,não,sim,,"1.000.000,00",,,"999.973,20",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2173,2022,00002.01,não,sim,,"2.657.356,00",,,"2.657.356,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2174,2022,00003.01,não,sim,,"5.945.621,00",,,"5.941.767,16",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2175,2022,00004.01,não,sim,,"6.300.711,00",,,"6.300.707,48",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2176,2022,00005.01,não,sim,,"2.519.808,00",,,"2.519.807,75",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2177,2022,00006.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2178,2022,00009.01,não,sim,,"550.000,00",,,"545.481,43",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2179,2022,00010.01,não,sim,,"700.000,00",,,"700.000,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2180,2022,00012.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2181,2022,00013.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2182,2022,00014.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2183,2022,00016.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2184,2022,00017.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2185,2022,00018.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2186,2022,00019.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2187,2022,00020.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2188,2022,00021.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
