fonte,entidade,campo_normalizado,grafias,n_arquivos,origem_arquivos,tipo_original,rotulo_original,descricao_original,modulo,publicado_em
ckan,contratacao,estimado,ESTIMADO,4,contratacoes/Compras-2021-ComprasNet (15a17dd3-58ac-4600-a254-ff30fe85d34b); contratacoes/Compras-2023-ComprasNet (b7cde9a6-8a98-4d4b-833a-2f98e3e456ef); contratacoes/Compras-2022-ComprasNet (ef8bbc97-dc3a-42e0-b994-281cb7f21edd); contratacoes/Compras-2020-ComprasNet (fc1c6163-43e8-4d0d-bbf2-eaf19d012156),text,n/d,n/d,contratacao.py,não publicado
ckan,contratacao,estimado_r$,Estimado R$,1,licitacoes/Relatorio_Licitacoes_Normalizado.csv (422b9ad0-172b-4672-944e-12302430a8d6),text,n/d,n/d,contratacao.py,licitacoes-e-dispensas.valor_estimado
ckan,contratacao,existeresultado,ExisteResultado,3,contratacoes/Compras-2024-PNCP (107b8385-a2bf-452a-a503-086be6af8b4d); contratacoes/Compras-2023-PNCP (199afb34-53a3-414c-85d5-f7d13ac9023d); contratacoes/Compras-2025-06-PNCP (e2ad9fad-2fbd-4e90-adb0-1ed92f97dbd7),text,n/d,n/d,contratacao.py,não publicado
ckan,contratacao,fiscaladministrativo,FiscalAdministrativo,1,"contratos-atas-de-registro-de-preco-acordos-e-convenios/Contratos, Atas de Registro de Preço, Acordos e Convênios (cbd8a127-b6b9-4abc-9a65-50b0248809c8)",text,n/d,n/d,contratacao.py,contratos-vigentes.fiscal_administrativo
ckan,contratacao,fiscaltecnico,FiscalTecnico,1,"contratos-atas-de-registro-de-preco-acordos-e-convenios/Contratos, Atas de Registro de Preço, Acordos e Convênios (cbd8a127-b6b9-4abc-9a65-50b0248809c8)",text,n/d,n/d,contratacao.py,contratos-vigentes.fiscal_tecnico
ckan,contratacao,gestor,Gestor,1,"contratos-atas-de-registro-de-preco-acordos-e-convenios/Contratos, Atas de Registro de Preço, Acordos e Convênios (cbd8a127-b6b9-4abc-9a65-50b0248809c8)",text,n/d,n/d,contratacao.py,contratos-vigentes.gestor
ckan,contratacao,licitado_r$,Licitado R$,1,licitacoes/Relatorio_Licitacoes_Normalizado.csv (422b9ad0-172b-4672-944e-12302430a8d6),text,n/d,n/d,contratacao.py,licitacoes-e-dispensas.valor_adjudicado
ckan,contratacao,modalidade,MODALIDADE; Modalidade,5,contratacoes/Compras-2021-ComprasNet (15a17dd3-58ac-4600-a254-ff30fe85d34b); contratacoes/Compras-2023-ComprasNet (b7cde9a6-8a98-4d4b-833a-2f98e3e456ef); contratacoes/Compras-2022-ComprasNet (ef8bbc97-dc3a-42e0-b994-281cb7f21edd); contratacoes/Compras-2020-ComprasNet (fc1c6163-43e8-4d0d-bbf2-eaf19d012156); licitacoes/Relatorio_Licitacoes_Normalizado.csv (422b9ad0-172b-4672-944e-12302430a8d6),text,n/d,n/d,contratacao.py,compras-por-modalidade-e-ano.modalidade; licitacoes-e-dispensas.procedimento
ckan,contratacao,modalidade/contratacao,Modalidade/Contratação,1,"contratos-atas-de-registro-de-preco-acordos-e-convenios/Contratos, Atas de Registro de Preço, Acordos e Convênios (cbd8a127-b6b9-4abc-9a65-50b0248809c8)",text,n/d,n/d,contratacao.py,contratos-vigentes.modalidade
ckan,contratacao,modalidadenome,ModalidadeNome,3,contratacoes/Compras-2024-PNCP (107b8385-a2bf-452a-a503-086be6af8b4d); contratacoes/Compras-2023-PNCP (199afb34-53a3-414c-85d5-f7d13ac9023d); contratacoes/Compras-2025-06-PNCP (e2ad9fad-2fbd-4e90-adb0-1ed92f97dbd7),text,n/d,n/d,contratacao.py,compras-por-modalidade-e-ano.modalidade
ckan,contratacao,mododisputanome,ModoDisputaNome,3,contratacoes/Compras-2024-PNCP (107b8385-a2bf-452a-a503-086be6af8b4d); contratacoes/Compras-2023-PNCP (199afb34-53a3-414c-85d5-f7d13ac9023d); contratacoes/Compras-2025-06-PNCP (e2ad9fad-2fbd-4e90-adb0-1ed92f97dbd7),text,n/d,n/d,contratacao.py,não publicado
ckan,contratacao,no_da_licitacao,Nº  da licitacao,1,licitacoes/Relatorio_Licitacoes_Normalizado.csv (422b9ad0-172b-4672-944e-12302430a8d6),numeric,n/d,n/d,contratacao.py,licitacoes-e-dispensas.identificacao
ckan,contratacao,no_de_identificacao,Nº de Identificacao,1,dispensas-eletronicas-de-licitacao/Dispensas Eletrônicas de Licitação (71fa9f89-9a71-469e-ae61-b21efb023be3),numeric,n/d,n/d,contratacao.py,licitacoes-e-dispensas.identificacao
ckan,contratacao,nocontrato,NºContrato,1,"contratos-atas-de-registro-de-preco-acordos-e-convenios/Contratos, Atas de Registro de Preço, Acordos e Convênios (cbd8a127-b6b9-4abc-9a65-50b0248809c8)",text,n/d,n/d,contratacao.py,contratos-vigentes.numero
ckan,contratacao,nome,NOME,1,empresas-sancionadas/Empresas sancionadas  (178f7059-d789-46d4-9ed3-2d67650fd59c),text,n/d,n/d,contratacao.py,empresas-sancionadas.empresa
ckan,contratacao,nomedaempresa,NomeDaEmpresa,1,"contratos-atas-de-registro-de-preco-acordos-e-convenios/Contratos, Atas de Registro de Preço, Acordos e Convênios (cbd8a127-b6b9-4abc-9a65-50b0248809c8)",text,n/d,n/d,contratacao.py,contratos-vigentes.empresa
ckan,contratacao,numero,NÚMERO,4,contratacoes/Compras-2021-ComprasNet (15a17dd3-58ac-4600-a254-ff30fe85d34b); contratacoes/Compras-2023-ComprasNet (b7cde9a6-8a98-4d4b-833a-2f98e3e456ef); contratacoes/Compras-2022-ComprasNet (ef8bbc97-dc3a-42e0-b994-281cb7f21edd); contratacoes/Compras-2020-ComprasNet (fc1c6163-43e8-4d0d-bbf2-eaf19d012156),numeric,n/d,n/d,contratacao.py,não publicado
ckan,contratacao,numerocompra,NumeroCompra,3,contratacoes/Compras-2024-PNCP (107b8385-a2bf-452a-a503-086be6af8b4d); contratacoes/Compras-2023-PNCP (199afb34-53a3-414c-85d5-f7d13ac9023d); contratacoes/Compras-2025-06-PNCP (e2ad9fad-2fbd-4e90-adb0-1ed92f97dbd7),numeric,n/d,n/d,contratacao.py,não publicado
