ano,autor_id,autor,apresentadas,aprovadas,rejeitadas,pendentes,nao_se_aplica,inclassificavel
2026,63,Deputado Max Maciel,62,1,0,2,59,0
2026,59,Deputado Pastor Daniel de Castro,89,2,0,54,33,0
2026,65,Deputado Pepa,81,5,0,27,49,0
2026,57,Deputado Ricardo Vale,88,0,0,14,74,0
2026,33,Deputado Robério Negreiros,55,0,0,27,28,0
2026,67,Deputado Rogério Morro da Cruz,28,0,0,10,18,0
2026,34,Deputado Roosevelt Vilela,51,4,0,21,26,0
2026,66,Deputado Thiago Manzoni,38,1,0,11,26,0
2026,58,Deputado Wellington Luiz,82,6,0,22,54,0
2026,56,Mesa Diretora,8,6,0,2,0,0
2026,6,Poder Executivo,61,33,0,28,0,0
2026,240,Sugestão Legislativa,1,0,0,1,0,0
2026,7,Tribunal de Contas do Distrito Federal,2,1,0,1,0,0
