ano,mes,mes_numero,tipo,linhas,matriculas_distintas,creditos,descontos,auxilios,liquido
2013,Julho,7,REQUISITADO - ESTATUTÁRIO,89,89,"0,00","0,00","0,00","338.865,48"
2013,Agosto,8,CEDIDO,13,13,"0,00","0,00","0,00","140.629,60"
2013,Agosto,8,CONCURSADO,707,707,"0,00","0,00","0,00","6.650.713,07"
2013,Agosto,8,CONCURSADO (INATIVO - EC 41/03),4,4,"0,00","0,00","0,00","23.577,88"
2013,Agosto,8,CONCURSADO (INATIVO),151,151,"0,00","0,00","0,00","1.524.278,85"
2013,Agosto,8,CONCURSADO (IPREV),6,6,"0,00","0,00","0,00","62.330,32"
2013,Agosto,8,DEPUTADO (PSS),7,7,"0,00","0,00","0,00","95.156,31"
2013,Agosto,8,DEPUTADO (RGPS),17,17,"0,00","0,00","0,00","208.916,38"
2013,Agosto,8,LIVRE PROVIMENTO,825,825,"0,00","0,00","0,00","3.394.149,75"
2013,Agosto,8,PENSAO ESPECIAL - TEMPORÁRIA,2,2,"0,00","0,00","0,00","1.938,20"
2013,Agosto,8,PENSÃO ESPECIAL - VITALÍCIA,9,9,"0,00","0,00","0,00","50.076,48"
2013,Agosto,8,PENSÃO ESPECIAL EC41/03 - TEMPORÁRIA,13,13,"0,00","0,00","0,00","27.393,66"
2013,Agosto,8,PENSÃO ESPECIAL EC41/03 - VITALÍCIA,12,12,"0,00","0,00","0,00","48.431,41"
2013,Agosto,8,REQUISITADO - CLT,5,5,"0,00","0,00","0,00","26.325,36"
2013,Agosto,8,REQUISITADO - ESTATUTÁRIO,78,78,"0,00","0,00","0,00","298.653,28"
2013,Setembro,9,CEDIDO,13,13,"0,00","0,00","0,00","143.519,37"
2013,Setembro,9,CONCURSADO,706,706,"0,00","0,00","0,00","6.570.075,07"
2013,Setembro,9,CONCURSADO (INATIVO - EC 41/03),4,4,"0,00","0,00","0,00","23.622,51"
2013,Setembro,9,CONCURSADO (INATIVO),151,151,"0,00","0,00","0,00","1.553.791,14"
2013,Setembro,9,CONCURSADO (IPREV),5,5,"0,00","0,00","0,00","42.205,36"
2013,Setembro,9,CONCURSADO (IPREV) 65 DEPUTADO (PSS) 68 DEPUTADO (PSS),1,1,"0,00","0,00","0,00","7.097,86"
2013,Setembro,9,LIVRE PROVIMENTO,824,824,"0,00","0,00","0,00","3.365.762,88"
2013,Setembro,9,PENSAO ESPECIAL - TEMPORÁRIA,2,2,"0,00","0,00","0,00","1.975,28"
2013,Setembro,9,PENSÃO ESPECIAL - VITALÍCIA,9,9,"0,00","0,00","0,00","50.063,77"
