ano,mes,mes_numero,unidade_orcamentaria,funcao,funcao_rotulo,subfuncao,subfuncao_rotulo,natureza,natureza_rotulo,natureza_em_seis_digitos,natureza_categoria_economica,natureza_grupo,natureza_modalidade_de_aplicacao,natureza_elemento,natureza_subelemento,fonte,fonte_rotulo,empenhado,liquidado,pago,as_of
2022,Janeiro,1,1101,1,,126,,449040,,449040,4,4,90,40,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,1,,126,,449052,,449052,4,4,90,52,,100,,"2.917.146,60","0,00","0,00",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,1,,128,,339032,,339032,3,3,90,32,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,1,,128,,339036,,339036,3,3,90,36,,100,,"0,01","0,00","0,00",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,1,,128,,339039,,339039,3,3,90,39,,100,,"67.680,05","5.111,79","4.127,79",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,1,,131,,339037,,339037,3,3,90,37,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,1,,131,,339039,,339039,3,3,90,39,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,1,,131,,339092,,339092,3,3,90,92,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,1,,131,,449052,,449052,4,4,90,52,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,1,,31,,339030,,339030,3,3,90,30,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,1,,31,,339031,,339031,3,3,90,31,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,1,,31,,339032,,339032,3,3,90,32,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
