fonte,processo,identificacao,procedimento,ano,data_da_sessao,demandante,objeto,valor_estimado,valor_adjudicado,economia_calculada,economia_na_fonte,economia_confere,economia_percentual_na_fonte,situacao,as_of
licitacoes,00031722/2023-82,90008,Pregao Eletronico,2024,2024-04-11,ASTEA,Reforma do Piso da CMI,"188.479,45","181.600,00","6.879,45",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00032182/2023-54,90010,Pregao Eletronico,2024,2024-04-24,ASTEA,Manutencao do Grupo Moto-Gerador,"177.391,38","85.999,96","91.391,42",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00032428/2021-26,90028,Pregao Eletronico,2024,2024-08-21,DICOM,Equipamentos e Materiais para TV,"1.675.456,91","1.415.122,60","260.334,31",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00032519/2024-12,90047,Pregao Eletronico,2024,2024-12-05,ASTEA,Implantacao da sala de apoio à Presidência,"294.183,26","259.980,14","34.203,12",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00032525/2024-61,90038,Pregao Eletronico,2024,2024-10-18,ASTEA,Reforma do Quinto Andar,"185.862,28","148.300,00","37.562,28",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00033960/2024-11,90044,Pregao Eletronico,2024,2024-12-03,NUCON,Copeiragem,"1.771.301,06","1.425.922,76","345.378,30",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00034083/2024-98,90046,Pregao Eletronico,2024,2024-12-02,DMI,No Breaks,"504.840,90","299.999,98","204.840,92",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00034621/2022-82,90011,Pregao Eletronico,2024,2024-04-25,ASTEA,Limpeza da Fachada,"61.071,01","35.191,00","25.880,01",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00036114/2023-64,90019,Pregao Eletronico,2024,2024-07-16,NPROD,Equipamentos para Producao Audiovisual,"55.146,60","0,00",,,,,Encerrado,2026-08-26T17:25:35
licitacoes,00037339/2023-38,90045,Pregao Eletronico,2024,2024-11-19,DMI,Aquisicao de Tablet e Lousa Interativa,"398.490,00","137.970,00","260.520,00",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00038012/2023-83,90040,Pregao Eletronico,2024,2024-10-25,ASTEA,Manutencao Predial,"2.332.825,55","2.033.523,12","299.302,43",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00040864/2023-31,90009,Pregao Eletronico,2024,2024-04-26,CMI,Licencas de Software,"911.194,05","907.350,00","3.844,05",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00042238/2024-60,90049,Pregao Eletronico,2024,2025-01-02,SEAUX,agua Mineral,"99.093,12","35.040,00","64.053,12",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00042751/2023-70,90001,Pregao Eletronico,2024,2024-03-12,COPOL,Aquisicao de Uniformes para COPOL,"126.987,96","69.352,80","57.635,16",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00043254/2023-99,90006,Pregao Eletronico,2024,2024-03-22,COTEA,Divisorias (SRP),"885.259,69","611.500,00","273.759,69",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00044527/2024-01,90048,Pregao Eletronico,2024,2024-12-09,NUPLAC,Aquisicao de Envelopes Pardos,"21.980,00","16.100,00","5.880,00",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00046188/2023-17,90023,Pregao Eletronico,2024,2024-08-12,SEDA,Servicos de Arquivamento Temporario,"321.887,60","0,00",,,,,Encerrado,2026-08-26T17:25:35
licitacoes,00046188/2023-17,90030,Pregao Eletronico,2024,2024-09-13,SEDA,Servicos de Arquivamento Temporario,"321.887,60","206.000,00","115.887,60",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00049057/2023-83,90022,Pregao Eletronico,2024,2024-07-31,ASTEA,Sistema Complementar de Sinalizacao,"484.168,27","469.170,95","14.997,32",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00051744/2023-69,90031,Pregao Eletronico,2024,2024-09-17,DMI,Fabrica de Software,"4.723.671,49","3.542.753,76","1.180.917,73",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00052009/2023-72,90032,Pregao Eletronico,2024,2024-09-24,DMI,Infraestrutura de Rede de Comunicacao,"3.575.493,68","3.196.552,00","378.941,68",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00052341/2023-37,90018,Pregao Eletronico,2024,2024-06-25,SEATI,Manutencao de Computadores,"194.622,96","95.520,00","99.102,96",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00052976/2023-34,90003,Pregao Eletronico,2024,2024-03-13,SAS,Medicamentos,"80.000,00","0,00",,,,,Encerrado,2026-08-26T17:25:35
licitacoes,00052976/2023-34,90021,Pregao Eletronico,2024,2024-07-02,NENF,Medicamentos,"91.835,63","85.407,12","6.428,51",,,,Encerrado,2026-08-26T17:25:35
licitacoes,001-000777/2018,90004,Pregao Eletronico,2024,2024-03-14,COPOL,Circuito Fechado de TV (CFTV),"1.474.372,99","644.739,50","829.633,49",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00001473/2023-09,3,Pregao Eletronico,2023,2023-02-15,DSG,Servico de Coleta de Lixo,"30.950,04","0,00",,,,,Encerrado,2026-08-26T17:25:35
licitacoes,00001473/2023-09,5,Pregao Eletronico,2023,2023-03-13,DSG,Servico de Coleta de Lixo,"30.950,04","0,00",,,,,Encerrado,2026-08-26T17:25:35
licitacoes,00002047/2023-84,4,Pregao Eletronico,2023,2023-03-09,CMI,Aquisicao de SSD,"64.668,00","35.944,80","28.723,20",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00003469/2023-77,7,Pregao Eletronico,2023,2023-03-22,DIAP,Servico Telefônico Fixo Comutado,"97.132,54","80.089,26","17.043,28",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00003785/2022-68,6,Pregao Eletronico,2023,2023-03-20,COTEA,Aquisicao de Baterias Estacionarias,"73.954,67","50.100,00","23.854,67",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00004265/2023-53,30,Pregao Eletronico,2023,2023-11-14,DIAP,Aquisicao de Cadeiras,"627.530,15","419.768,40","207.761,75",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00004455/2023-71,20,Pregao Eletronico,2023,2023-08-31,CMI,Aquisicao de Computadores,"4.121.208,50","3.157.752,00","963.456,50",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00007657/2023-74,9,Pregao Eletronico,2023,2023-04-12,SPCS,Suprimentos para Impressao de Crachas,"32.679,70","13.750,00","18.929,70",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00012449/2023-97,33,Pregao Eletronico,2023,2023-12-19,DIAP,Aquisicao de Mobiliario,"477.355,60","289.825,00","187.530,60",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00013358/2023-79,13,Pregao Eletronico,2023,2023-07-11,DRH,Agente de Integracao Escola-Empresa,"1.932.386,88","1.919.411,52","12.975,36",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00016690/2023-95,17,Pregao Eletronico,2023,2023-08-07,ALMOX,Material de Expediente,"219.492,20","115.435,60","104.056,60",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00017803/2023-70,14,Pregao Eletronico,2023,2023-07-18,DIAP,Aquisicao de Linhas Telefônicas Moveis,"26.364,00","18.234,00","8.130,00",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00018187/2021-11,18,Pregao Eletronico,2023,2023-08-14,CMI,Expansao de Infraestrutura de Rede Sem Fio,"1.496.599,00","1.496.349,00","250,00",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00018790/2023-56,29,Pregao Eletronico,2023,2023-11-13,DIAP,Aquisicao de Sofas,"390.037,27","106.010,00","284.027,27",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00020502/2023-23,21,Pregao Eletronico,2023,2023-09-01,CMI,Solucao de Business Intelligence,"53.640,00",,,,,,Encerrado,2026-08-26T17:25:35
licitacoes,00020502/2023-23,27,Pregao Eletronico,2023,2023-11-13,CMI,Solucao de Business Intelligence,"134.718,00","63.000,00","71.718,00",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00023897/2023-16,23,Pregao Eletronico,2023,2023-09-05,SAS,UTI Movel,"122.751,36","122.534,40","216,96",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00026711/2023-81,22,Pregao Eletronico,2023,2023-08-17,DIAP,Fornecimento de Carimbos,"4.341,98","4.310,45","31,53",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00027193/2023-12,24,Pregao Eletronico,2023,2023-09-01,CMI,Firewall,"2.721.451,66","2.337.000,00","384.451,66",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00028022/2022-20,10,Pregao Eletronico,2023,2023-04-14,ELEGIS,Aquisicao de Mochilas e Cadernos,"188.955,45","131.855,85","57.099,60",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00028942/2023-29,32,Pregao Eletronico,2023,2023-12-12,NPG,Toner para impressoras,"1.265.000,00","1.056.100,00","208.900,00",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00029629/2023-16,26,Pregao Eletronico,2023,2023-10-05,DSG,Contratacao de Agência de Viagens,"346.023,80","315.421,20","30.602,60",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00032627/2022-15,16,Pregao Eletronico,2023,2023-07-27,CMI,Aquisicao de Protecao Antivirus,"657.846,75",,,,,,Encerrado,2026-08-26T17:25:35
licitacoes,00032627/2022-15,25,Pregao Eletronico,2023,2023-09-19,CMI,Aquisicao de Protecao Antivirus,"657.846,75","245.150,00","412.696,75",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00035969/2022-97,12,Pregao Eletronico,2023,2023-06-19,NJCI,Manutencao dos Equipamentos Fotograficos,"211.940,32","0,00",,,,,Encerrado,2026-08-26T17:25:35
licitacoes,00035969/2022-97,15,Pregao Eletronico,2023,2023-07-13,NJCI,Manutencao dos Equipamentos Fotograficos,"211.940,32","207.540,32","4.400,00",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00035969/2022-97,8,Pregao Eletronico,2023,2023-04-11,NJCI,Manutencao dos Equipamentos Fotograficos,"203.072,90","0,00",,,,,Encerrado,2026-08-26T17:25:35
licitacoes,00035972/2022-19,2,Pregao Eletronico,2023,2023-02-07,SAS,Medicamentos,"31.472,54","29.175,15","2.297,39",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00036805/2023-68,31,Pregao Eletronico,2023,2023-12-05,NPG,Aquisicao de Papeis e Insumos para Grafica,"207.309,50","133.115,50","74.194,00",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00039260/2023-41,28,Pregao Eletronico,2023,2023-11-07,DTAP,LIBRAS,"685.720,00","243.350,00","442.370,00",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00041972/2022-40,1,Pregao Eletronico,2023,2023-02-06,COPOL,Recarga de Extintores,"64.830,00","36.682,55","28.147,45",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00043696/2022-54,19,Pregao Eletronico,2023,2023-08-10,CERIMONIAL,SRP para Eventos,"7.135.903,70","4.453.540,00","2.682.363,70",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00043697/2022-07,11,Pregao Eletronico,2023,2023-06-19,CC,Ornamentacao,"137.183,65","121.035,15","16.148,50",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00000790/2022-19,19,Pregao Eletronico,2022,2022-05-23,DAF,Manutencao do Sist. de Ar. Cond.,"2.700.938,90","1.499.986,25","1.200.952,65",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00002057/2022-39,21,Pregao Eletronico,2022,2022-06-21,CMI,Software Zoom,"69.930,00","52.920,00","17.010,00",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00002066/2022-20,29,Pregao Eletronico,2022,2022-09-29,DAF,Manutencao Predial,"3.683.870,14","3.188.990,00","494.880,14",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00002108/2022-22,15,Pregao Eletronico,2022,2022-04-04,COPOL,Suprimentos para Impressao de Crachas,"18.312,50","14.494,95","3.817,55",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00003950/2021-09,44,Pregao Eletronico,2022,2022-12-02,DSG,Veiculos Sedan e Vans,"1.551.040,00","553.800,00","997.240,00",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00004182/2021-01,30,Pregao Eletronico,2022,2022-09-13,DAF,Divisorias,"1.526.396,12","797.920,00","728.476,12",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00005160/2021-50,12,Pregao Eletronico,2022,2022-03-15,CC,Servico de Ornamentacao,"34.107,55","34.067,55","40,00",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00006132/2020-79,5,Pregao Eletronico,2022,2022-02-21,NPG,Equipamentos de Impressao Digital,"1.111.390,00","961.250,00","150.140,00",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00008748/2022-46,18,Pregao Eletronico,2022,2022-05-23,COPOL,Aquisicao de Viatura,"158.000,00","148.600,00","9.400,00",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00014046/2022-00,20,Pregao Eletronico,2022,2022-06-20,DIAP,Aquisicao de Material Permanente,"132.718,93","0,00",,,,,Encerrado (Fracassado/Deserto),2026-08-26T17:25:35
licitacoes,00014046/2022-00,33,Pregao Eletronico,2022,2022-09-22,DIAP,Aquisicao de Mobiliario,"132.718,93","0,00",,,,,Encerrado (Fracassado/Deserto),2026-08-26T17:25:35
licitacoes,00014046/2022-00,46,Pregao Eletronico,2022,2022-12-12,DIAP,Aquisicao de Mobiliario,"396.105,50",,,,,,Suspenso Sine Die,2026-08-26T17:25:35
licitacoes,00014189/2020-41,25,Pregao Eletronico,2022,2022-08-09,CMI,Monitoramento dos Ativos de Rede,"237.498,84","112.090,00","125.408,84",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00016210/2021-24,8,Pregao Eletronico,2022,2022-02-22,CMI,Antivirus McAfee,"66.120,00","57.000,00","9.120,00",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00019255/2022-31,24,Pregao Eletronico,2022,2022-07-11,NPG,Guilhotina Grafica,"364.000,00","320.000,00","44.000,00",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00020095/2021-92,6,Pregao Eletronico,2022,2022-02-17,COPOL,Aquisicao de Viaturas,"364.583,33","192.000,00","172.583,33",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00021436/2022-28,23,Pregao Eletronico,2022,2022-07-11,ALMOX,Aquisicao de Material de Expediente,"161.538,42","150.954,10","10.584,32",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00022292/2022-37,41,Pregao Eletronico,2022,2022-11-22,DAF,Sinalizacao,"459.067,82","393.051,45","66.016,37",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00022326/2022-83,31,Pregao Eletronico,2022,2022-09-19,DAF,Fornecimento e Instalacao de Ar Condicionado,"37.665,00","0,00",,,,,Encerrado (Fracassado),2026-08-26T17:25:35
licitacoes,00022326/2022-83,37,Pregao Eletronico,2022,2022-10-27,DAF,Fornecimento e Instalacao de Ar Condicionado,"54.683,33","48.845,00","5.838,33",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00023246/2020-83,16,Pregao Eletronico,2022,2022-04-07,ELEGIS,Servico de Transporte ELEGIS,"502.500,00","502.050,00","450,00",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00023420/2021-79,13,Pregao Eletronico,2022,2022-03-24,CMI,Fabrica de Software,"3.745.322,00","2.204.390,00","1.540.932,00",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00024489/2021-10,14,Pregao Eletronico,2022,2022-03-22,ELEGIS,Kits-lanche ELEGIS,"123.795,00","57.645,00","66.150,00",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00026201/2022-22,27,Pregao Eletronico,2022,2022-08-09,DIAP,Carimbos,"10.281,06","6.258,00","4.023,06",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00026729/2022-00,26,Pregao Eletronico,2022,2022-08-11,ALMOX,Material de impressao,"89.566,00","84.992,00","4.574,00",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00027487/2022-63,36,Pregao Eletronico,2022,2022-10-26,CC,"Aquisicao de Pastas, Botons e Prismas","41.407,90","0,00",,,,,Encerrado (Fracassado),2026-08-26T17:25:35
licitacoes,00028402/2021-83,28,Pregao Eletronico,2022,2023-02-09,CMI,Aquisicao de Licencas SCCM/CALs,"827.069,00","817.506,40","9.562,60",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00029158/2022-57,40,Pregao Eletronico,2022,2022-11-17,DSG,Combustiveis,"344.765,47","327.182,43","17.583,04",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00029966/2022-14,32,Pregao Eletronico,2022,2022-09-21,ALMOX,Aquisicao de Material de Expediente,"21.328,00","8.761,50","12.566,50",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00030326/2021-76,17,Pregao Eletronico,2022,2022-04-13,SAS,Manutencao dos Equipamentos do SAS,"51.735,00","34.999,92","16.735,08",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00031369/2021-79,10,Pregao Eletronico,2022,2022-03-08,DAF,Fornecimento e Instalacao de Ar Condicionado,"85.269,27","85.267,27","2,00",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00032065/2022-18,48,Pregao Eletronico,2022,2022-12-23,DSG,Servico de Limpeza,"3.656.295,36","2.488.960,56","1.167.334,80",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00032744/2022-89,35,Pregao Eletronico,2022,2022-10-17,DSG,Servico de Controle de Pragas Urbanas,"45.752,28","22.699,92","23.052,36",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00033030/2022-98,34,Pregao Eletronico,2022,2022-10-06,DSG,Aquisicao de Geladeiras e Micro-ondas,"32.079,80","32.079,80","0,00",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00034791/2021-86,9,Pregao Eletronico,2022,2022-03-15,SAPLE,Aquisicao de Equipamentos Audiovisual,"112.122,39","73.320,61","38.801,78",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00035629/2022-66,38,Pregao Eletronico,2022,2022-11-07,COPOL,Chaveiro,"101.879,62","0,00",,,,,Encerrado (Deserto),2026-08-26T17:25:35
licitacoes,00035629/2022-66,42,Pregao Eletronico,2022,2022-12-06,COPOL,Chaveiro,"101.879,62","0,00",,,,,Encerrado (Fracassado),2026-08-26T17:25:35
licitacoes,00035972/2022-19,39,Pregao Eletronico,2022,2022-11-09,SAS,Medicamentos,"31.472,54","0,00",,,,,Encerrado (Deserto),2026-08-26T17:25:35
licitacoes,00035972/2022-19,45,Pregao Eletronico,2022,2022-12-07,SAS,Medicamentos,"31.472,54","0,00",,,,,Encerrado (Fracassado),2026-08-26T17:25:35
licitacoes,00036300/2021-31,4,Pregao Eletronico,2022,2022-02-15,NPG,Manutencao de Impressora Xerox,"190.192,80","189.600,00","592,80",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00036596/2022-71,47,Pregao Eletronico,2022,2022-12-08,DSG,Containers de Lixo,"66.026,66","52.377,66","13.649,00",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00036933/2022-21,43,Pregao Eletronico,2022,2022-12-05,CC,Confeccao de Canetas,"51.966,00","44.980,00","6.986,00",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00037776/2020-17,1,Pregao Eletronico,2022,2022-02-02,CC,Eventos,"7.743.173,40","2.749.460,00","4.993.713,40",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00038080/2020-08,7,Pregao Eletronico,2022,2022-02-22,CC,Coffee Break,"607.062,50",,,,,,Suspenso Sine Die,2026-08-26T17:25:35
licitacoes,00038907/2020-75,3,Pregao Eletronico,2022,2022-03-10,SGDA,Digitalizacao de Midias,"2.101.785,20","1.189.916,80","911.868,40",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00040024/2022-97,49,Pregao Eletronico,2022,2022-12-15,SEAUX,agua Mineral,"98.208,00","98.208,00","0,00",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00042048/2021-08,22,Pregao Eletronico,2022,2022-06-29,CMI,Link de dados,"86.599,92","22.771,92","63.828,00",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00042590/2021-52,11,Pregao Eletronico,2022,2022-03-08,CMI,Aquisicao de SSDs,"32.684,75","19.682,40","13.002,35",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00043131/2021-96,2,Pregao Eletronico,2022,2022-02-10,SETRAN,Combustiveis,"185.255,00","176.455,38","8.799,62",,,,Encerrado,2026-08-26T17:25:35
licitacoes,13567/2021-51,1,Concorrencia,2022,2022-08-10,DICOM,Publicidade Institucional,"35.600.000,00","35.600.000,00","0,00",,,,Encerrado,2026-08-26T17:25:35
