unidade_normalizada,competencia,ano,mes,quantidade,com_matricula,com_afericao,apenas_nome
Setor de Biblioteca - SEBIB,2023-06,2023,06,5,0,0,5
Setor de Finanças - SEFIN,2023-06,2023,06,4,0,0,4
Setor de Patrimônio - SEPAT,2023-06,2023,06,1,0,0,1
Setor de Taquigrafia - SETAQ,2023-06,2023,06,44,0,0,44
Seção de Administração de Sistemas - SEASI,2023-06,2023,06,4,0,0,4
Seção de Elaboração Orçamentária - SEORC,2023-06,2023,06,4,0,0,4
Seção de Infraestrutura de Tecnologia da Informação - SEINF,2023-06,2023,06,7,0,0,7
Unidade Desenvolvimento Urbano Rural e Meio Ambiente - UDA,2023-06,2023,06,10,0,0,10
Unidade de Constituição e Justiça - UCJ,2023-06,2023,06,6,0,0,6
Unidade de Economia e Finanças - UEF,2023-06,2023,06,8,0,0,8
Unidade de Saúde Educação Cultura e Desenvolvimento Científico e Tecnológico - USE,2023-06,2023,06,6,0,0,6
Assessoria Legislativa,2023-07,2023,07,4,0,0,4
Auditoria - AUDIT,2023-07,2023,07,5,0,0,5
Comissão Permanente de Contratação - CPC,2023-07,2023,07,1,0,0,1
Comissão Permanente de Tomada de Contas Especial e Sindicância,2023-07,2023,07,3,0,0,3
Comissão de Constituição e Justiça - CCJ,2023-07,2023,07,4,0,0,4
Comissão de Economia Orçamento e Finanças - CEOF,2023-07,2023,07,6,0,0,6
Comissão dos Anais e Memória,2023-07,2023,07,1,0,0,1
Divisão de Desenvolvimento de Recursos Humanos - DDRH,2023-07,2023,07,1,0,0,1
Escola do Legislativo - ELEGIS,2023-07,2023,07,5,0,0,5
Gabinete da Mesa Diretoria - GMD,2023-07,2023,07,3,0,0,3
Setor de Apoio às Comissões Temporárias - SACT,2023-07,2023,07,2,0,0,2
Setor de Assistência Social - SASo,2023-07,2023,07,1,0,0,1
Setor de Biblioteca - SEBIB,2023-07,2023,07,5,0,0,5
Setor de Patrimônio - SEPAT,2023-07,2023,07,1,0,0,1
Setor de Taquigrafia - SETAQ,2023-07,2023,07,44,0,0,44
Unidade Desenvolvimento Urbano Rural e Meio Ambiente - UDA,2023-07,2023,07,10,0,0,10
Unidade de Constituição e Justiça - UCJ,2023-07,2023,07,6,0,0,6
Unidade de Economia e Finanças - UEF,2023-07,2023,07,9,0,0,9
Assessoria Legislativa,2023-08,2023,08,4,0,0,4
Auditoria - AUDIT,2023-08,2023,08,5,0,0,5
Comissão Permanente de Contratação - CPC,2023-08,2023,08,1,0,0,1
Comissão Permanente de Tomada de Contas Especial e Sindicância,2023-08,2023,08,3,0,0,3
Comissão de Constituição e Justiça - CCJ,2023-08,2023,08,4,0,0,4
Comissão de Economia Orçamento e Finanças - CEOF,2023-08,2023,08,4,0,0,4
Divisão de Desenvolvimento de Recursos Humanos - DDRH,2023-08,2023,08,1,0,0,1
Escola do Legislativo - ELEGIS,2023-08,2023,08,5,0,0,5
Gabinete da Mesa Diretoria - GMD,2023-08,2023,08,3,0,0,3
Setor de Apoio às Comissões Permanentes - SACP,2023-08,2023,08,4,0,0,4
Setor de Apoio às Comissões Temporárias - SACT,2023-08,2023,08,1,0,0,1
Setor de Assistência Social - SASo,2023-08,2023,08,1,0,0,1
Setor de Biblioteca - SEBIB,2023-08,2023,08,5,0,0,5
Setor de Execução Orçamentária - SEO,2023-08,2023,08,1,0,0,1
Setor de Finanças - SEFIN,2023-08,2023,08,4,0,0,4
Setor de Patrimônio - SEPAT,2023-08,2023,08,1,0,0,1
