ano,tipoProposicao,numero,ementa,comissao,comissao_fonte,verdict,verdict_estrutural,clausula,sigla_unidade,documento_id,data_documento
2022,Projeto de Lei,2777,"Dispõe sobre a proibição de aplicação de exames e provas do Curso de Formação, em dias de guarda religiosa, no âmbito do Distrito Federal.",CONSTITUIÇÃO E JUSTIÇA,clausula_da,admissivel_com_ressalva,Não apreciado(a),"Pelo exposto, nosso voto é pela ADMISSIBILIDADE do Projeto de Lei n.° 2.777, de 2022, e das emendas da Comissão de Economia, Orçamento e Finanças, na forma do substitutivo anexo.",GAB DEP FÁBIO FÉLIX,93248,2023-09-28T15:59:28.263
2022,Projeto de Lei,2779,"Ratifica o protocolo de intenções firmado entre o Distrito Federal e demais Estados da Federação para a constituição do Consórcio Interestadual “BRASIL VERDE”, com o objetivo de promover o enfrentamento aos efeitos adversos da mudança do clima no Brasil.",CONSTITUIÇÃO E JUSTIÇA,clausula_da,admissivel,Aprovado(a),"Por todo o exposto, nosso voto é pela ADMISSIBILIDADE do Projeto de Lei nº 2.779, de 2022 com a Emenda nº. 1, do Deputado Leandro Grass.",GAB DEP CHICO VIGILANTE,65995,2023-03-30T15:01:50.107
2022,Projeto de Lei,2780,Inclui no Calendário Oficial de Eventos do Distrito Federal o dia da “Maratona Monumental de Brasília”.,CONSTITUIÇÃO E JUSTIÇA,clausula_da,admissivel,Aprovado(a),"Diante do exposto, manifestamos voto pela ADMISSIBILIDADE do Projeto de Lei nº 2780/2022, no âmbito da Comissão de Constituição e Justiça, com o acolhimento do substitutivo anexo.",GAB DEP ROBÉRIO NEGREIROS,106847,2023-12-07T18:12:17.187
2022,Projeto de Lei,2817,"Estabelece a Política Distrital de Fomento a Patinação no Distrito Federal, denominada Lei Pró-Patinação.",CONSTITUIÇÃO E JUSTIÇA,clausula_da,admissivel,Aprovado(a),"Diante de todo o exposto, manifestamo-nos pela ADMISSIBILIDADE do Projeto de Lei nº 2.817/2022, no âmbito da CCJ, com a emenda supressiva nº 1 da CEOF e com a emenda supressiva em anexo.",GAB DEP FÁBIO FÉLIX,74911,2023-05-25T11:43:18.247
2022,Projeto de Lei,2866,"Institui o Programa Distrital de Incentivo à Economia Circular, âmbito do Distrito Federal. ",CONSTITUIÇÃO DE JUSTIÇA,clausula_da,admissivel,Aprovado(a),"III - CONCLUSÃO Diante do exposto, manifestamos voto pela ADMISSIBILIDADE do Projeto de Lei nº 2.866/2022, no âmbito desta Comissão de Constituição e Justiça, com as emendas modificativas em anexo.",CCJ,109536,2024-02-06T11:32:50.553
2022,Projeto de Lei,2895,"“Reconhece o  Wheeling, Stunt ou Grau de Rua  e demais manobras de motocicletas como prática esportiva no Distrito Federal e dá outras providências.”",CONSTITUIÇÃO E JUSTIÇA,clausula_da,admissivel,Aprovado(a),"Do exposto, manifestamos voto pela ADMISSIBILIDADE do Projeto de Lei nº 2.895/2022.",GAB DEP FÁBIO FÉLIX,108905,2024-01-15T17:43:03.747
2022,Projeto de Lei,2898,"Institui o Dia do Influenciador Digital no âmbito do Distrito Federal a ser comemorado anualmente todo dezessete de maio, e dá outras providências.",CONSTITUIÇÃO E JUSTIÇA,clausula_da,admissivel_com_ressalva,Aprovado(a),"Diante do exposto, manifestamos voto pela ADMISSIBILIDADE do Projeto de Lei nº 2.898/2022, no âmbito da Comissão de Constituição e Justiça, na forma do Substitutivo apresentado.",GAB DEP ROBÉRIO NEGREIROS,119585,2024-04-22T17:07:46.12
2022,Projeto de Lei,2921,Institui e inclui no Calendário Oficial de Eventos do Distrito Federal o Dia Distrital do Motoboy.,CONSTITUIÇÃO E JUSTIÇA,clausula_da,admissivel,Aprovado(a),"Diante do exposto, manifestamos voto pela ADMISSIBILIDADE do Projeto de Lei nº 2.921/2022, no âmbito da Comissão de Constituição e Justiça.",GAB DEP CHICO VIGILANTE,125677,2024-06-21T11:43:30.467
2022,Projeto de Lei,2925,"DISPÕE SOBRE A OBRIGATORIEDADE DA FIXAÇÃO DE ADESIVOS NOS VEÍCULOS DO SISTEMA PÚBLICO DO TRANSPORTE COLETIVO STPC/DF, PARA INDICAR A LOCALIZAÇÃO DO “PONTO CEGO” AOS CICLISTAS E MOTOCICLISTAS.",CONSTITUIÇÃO E JUSTIÇA,clausula_da,admissivel,Não apreciado(a),"ento nos arts. 23, inciso XII, 30, incisos I e V, e § 1º, todos da Constituição Federal; nos arts. 3º, inciso VI, 71, inciso I, 335, caput, e 342, inciso III; todos da Lei Orgânica do Distrito Federal; manifestamos voto pela ADMISSIBILIDADE constitucional e jurídica do Projeto de Lei nº 2.925, de 2022.",GAB DEP CHICO VIGILANTE,335058,2026-06-02T18:44:19.097
2022,Projeto de Lei,2927,Institui no calendário oficial de eventos do Distrito Federal a “Semana da Educação Financeira nas escolas públicas”.,CONSTITUIÇÃO E JUSTIÇA,clausula_da,admissivel,Aprovado(a),"Destarte, com fundamento no art. 63, inciso I, do RICLDF, manifesta-se voto pela ADMISSIBILIDADE do PL nº 2.927/2022, no âmbito desta CCJ.",CCJ,103254,2023-11-13T17:23:02.127
2022,Projeto de Lei,2936,Institui e inclui no Calendário Oficial de Eventos do Distrito Federal o “Dia de Conscientização do FeLV – Vírus da Leucemia Felina” e dá outras providências.,CONSTITUIÇÃO E JUSTIÇA,clausula_da,admissivel,Aprovado(a),"Diante do exposto, manifestamos voto pela ADMISSIBILIDADE do Projeto de Lei nº 2.936/2022, no âmbito da Comissão de Constituição e Justiça, nos termos da emenda modificativa anexa.",GAB DEP CHICO VIGILANTE,78598,2023-06-14T15:12:49.157
2022,Projeto de Lei,2958,"Altera a Lei n° 6.302, de 16 de maio de 2019, que dispõe sobre a extinção da Agência de Fiscalização do Distrito Federal e a criação da Secretaria de Estado de Proteção da Ordem Urbanística do Distrito Federal - DF Legal.",CONSTITUIÇÃO E JUSTIÇA,clausula_da,admissivel_com_ressalva,Aprovado(a),"Por todo o exposto, nosso voto é pela ADMISSIBILIDADE constitucional e jurídica do Projeto de Lei nº 2.958, de 2022, na forma do substitutivo em anexo.",GAB DEP THIAGO MANZONI,66843,2023-04-03T18:49:52.527
2022,Projeto de Lei,2963,"Institui a Campanha de Conscientização sobre a Cinomose Canina, no âmbito do Distrito Federal e dá outras providências.

",CONSTITUIÇÃO E JUSTIÇA,clausula_da,admissivel,Aprovado(a),"Diante de todo o exposto, manifestamo-nos pela admissibilidade do Projeto de Lei nº 2963/2022, no âmbito da CCJ.",GAB DEP FÁBIO FÉLIX,78807,2023-06-16T10:54:26.573
2022,Projeto de Lei,2968,Dispõe sobre o acolhimento dos dependentes no âmbito do Corpo de Bombeiros Militar do Distrito Federal e da Polícia Militar do Distrital e dá outras providências.,CONSTITUIÇÃO E JUSTIÇA,clausula_da,admissivel,Aprovado(a),"Com essas considerações, com fundamento no art. 24, incisos VIII e XV e §§ 1º e 2º, da Constituição e no art. 71 da Lei Orgânica e não havendo nenhum impedimento legal, conclui-se pela ADMISSIBILIDADE do Projeto de Lei nº 2968/2022, no âmbito desta Comissão de Constituição e Justiça - CCJ.",GAB DEP ROBÉRIO NEGREIROS,288259,2025-02-27T09:15:30.287
2022,Projeto de Lei,2968,Dispõe sobre o acolhimento dos dependentes no âmbito do Corpo de Bombeiros Militar do Distrito Federal e da Polícia Militar do Distrital e dá outras providências.,CONSTITUIÇÃO E JUSTIÇA,clausula_da,inadmissivel,Não apreciado(a),"Diante do exposto, nosso voto é pela INADMISSIBILIDADE do Projeto de Lei nº 2.968 de 2022, no âmbito da Comissão de Constituição e Justiça.",GAB DEP ROBÉRIO NEGREIROS,281648,2024-12-19T14:21:28.333
2022,Projeto de Lei,3005,"Estabelece diretrizes para a criação da Política Distrital Atendimento às Pessoas com dor crônica, bem como para o sistema distrital de informações sobre o cuidado a pessoa com dor crônica.",CONSTITUIÇÃO DE JUSTIÇA,clausula_da,admissivel,Aprovado(a),"CONCLUSÃO Assim, com fundamento no art. 63, inciso I, do RICLDF, manifesta-se voto pela ADMISSIBILIDADE do PL nº 3.005/2022 e das emendas n.º 1, 2 e 3, aprovadas no âmbito da CESC.",CCJ,129669,2024-08-26T15:55:01.077
