ano,sigla,numero,autor,tipo_autor,registros_na_fonte,id_proposicao,as_of
2023,IND,112,Deputada Dayse Amarilio,PARLAMENTAR,1,10554,2026-09-01
2023,IND,113,Deputado Rogério Morro da Cruz,PARLAMENTAR,1,10569,2026-09-01
2023,IND,114,Deputado Joaquim Roriz Neto,PARLAMENTAR,1,10556,2026-09-01
2023,IND,115,Deputado Eduardo Pedrosa,PARLAMENTAR,1,10550,2026-09-01
2023,IND,116,Deputada Jaqueline Silva,PARLAMENTAR,1,10509,2026-09-01
2023,IND,117,Deputada Jaqueline Silva,PARLAMENTAR,1,10512,2026-09-01
2023,IND,118,Deputado Robério Negreiros,PARLAMENTAR,1,10578,2026-09-01
2023,IND,119,Deputado Robério Negreiros,PARLAMENTAR,1,10584,2026-09-01
2023,IND,120,Deputado Robério Negreiros,PARLAMENTAR,2,10515,2026-09-01
2023,IND,121,Deputado Rogério Morro da Cruz,PARLAMENTAR,2,10606,2026-09-01
2023,IND,122,Deputado Joaquim Roriz Neto,PARLAMENTAR,2,10589,2026-09-01
2023,IND,123,Deputado Joaquim Roriz Neto,PARLAMENTAR,1,10639,2026-09-01
2023,IND,124,Deputada Dayse Amarilio,PARLAMENTAR,1,10615,2026-09-01
2023,IND,125,Deputada Dayse Amarilio,PARLAMENTAR,1,10617,2026-09-01
2023,IND,126,Deputada Dayse Amarilio,PARLAMENTAR,1,10613,2026-09-01
2023,IND,127,Deputada Dayse Amarilio,PARLAMENTAR,1,10634,2026-09-01
2023,IND,128,Deputada Jaqueline Silva,PARLAMENTAR,1,10595,2026-09-01
2023,IND,129,Deputada Jaqueline Silva,PARLAMENTAR,1,10596,2026-09-01
2023,IND,130,Deputada Jaqueline Silva,PARLAMENTAR,1,10598,2026-09-01
2023,IND,131,Deputada Jaqueline Silva,PARLAMENTAR,1,10605,2026-09-01
2023,IND,132,Deputada Jaqueline Silva,PARLAMENTAR,2,10611,2026-09-01
2023,IND,133,Deputada Jaqueline Silva,PARLAMENTAR,1,10600,2026-09-01
2023,IND,134,Deputada Doutora Jane,PARLAMENTAR,1,10655,2026-09-01
2023,IND,135,Deputada Jaqueline Silva,PARLAMENTAR,1,10636,2026-09-01
2023,IND,136,Deputada Jaqueline Silva,PARLAMENTAR,1,10640,2026-09-01
2023,IND,137,Deputada Jaqueline Silva,PARLAMENTAR,1,10643,2026-09-01
2023,IND,138,Deputado Max Maciel,PARLAMENTAR,1,10530,2026-09-01
2023,IND,139,Deputado Max Maciel,PARLAMENTAR,3,10558,2026-09-01
2023,IND,140,Deputado Max Maciel,PARLAMENTAR,3,10559,2026-09-01
2023,IND,141,Deputado Max Maciel,PARLAMENTAR,3,10560,2026-09-01
2023,IND,142,Deputada Dayse Amarilio,PARLAMENTAR,1,10650,2026-09-01
2023,IND,143,Deputada Dayse Amarilio,PARLAMENTAR,1,10651,2026-09-01
2023,IND,144,Deputada Dayse Amarilio,PARLAMENTAR,1,10652,2026-09-01
2023,IND,145,Deputada Dayse Amarilio,PARLAMENTAR,1,10654,2026-09-01
2023,IND,146,Deputada Dayse Amarilio,PARLAMENTAR,1,10658,2026-09-01
2023,IND,147,Deputada Dayse Amarilio,PARLAMENTAR,1,10664,2026-09-01
2023,IND,148,Deputada Dayse Amarilio,PARLAMENTAR,1,10665,2026-09-01
2023,IND,149,Deputada Dayse Amarilio,PARLAMENTAR,1,10666,2026-09-01
2023,IND,150,Deputada Dayse Amarilio,PARLAMENTAR,1,10669,2026-09-01
2023,IND,151,Deputada Dayse Amarilio,PARLAMENTAR,1,10668,2026-09-01
2023,IND,152,Deputada Dayse Amarilio,PARLAMENTAR,1,10670,2026-09-01
2023,IND,153,Deputada Dayse Amarilio,PARLAMENTAR,1,10671,2026-09-01
2023,IND,154,Deputada Dayse Amarilio,PARLAMENTAR,1,10677,2026-09-01
2023,IND,155,Deputada Dayse Amarilio,PARLAMENTAR,1,10680,2026-09-01
2023,IND,156,Deputado Daniel Donizet,PARLAMENTAR,1,10814,2026-09-01
2023,IND,157,Deputado Daniel Donizet,PARLAMENTAR,1,10813,2026-09-01
2023,IND,158,Deputado Daniel Donizet,PARLAMENTAR,1,10811,2026-09-01
2023,IND,159,Deputado Daniel Donizet,PARLAMENTAR,1,10810,2026-09-01
2023,IND,160,Deputado Daniel Donizet,PARLAMENTAR,1,10809,2026-09-01
2023,IND,161,Deputado Daniel Donizet,PARLAMENTAR,1,10807,2026-09-01
2023,IND,162,Deputado Daniel Donizet,PARLAMENTAR,1,10806,2026-09-01
2023,IND,163,Deputado Daniel Donizet,PARLAMENTAR,1,10805,2026-09-01
2023,IND,164,Deputado Daniel Donizet,PARLAMENTAR,1,10804,2026-09-01
2023,IND,165,Deputado Daniel Donizet,PARLAMENTAR,1,10803,2026-09-01
2023,IND,166,Deputado Daniel Donizet,PARLAMENTAR,1,10802,2026-09-01
2023,IND,167,Deputado Daniel Donizet,PARLAMENTAR,1,10801,2026-09-01
2023,IND,168,Deputado Daniel Donizet,PARLAMENTAR,1,10800,2026-09-01
