ano,tipoProposicao,numero,siglaNumeroAno,categoria,veredito,emendas_acatadas,emendas_decididas,emendas_registradas,dataLeitura,ementa
2025,Projeto de Lei Complementar,67,PLC 67/2025,aprovada_com_emendas,aprovada,7,10,10,2025-03-24,"Altera a Lei Complementar nº 948, de 16 de janeiro de 2019, que ""aprova a Lei de Uso e Ocupação do Solo do Distrito Federal – Luos, nos termos dos arts. 316 e 318 da Lei Orgânica do Distrito Federal, e dá outras providências"", e dá outras providências."
2025,Projeto de Lei Complementar,68,PLC 68/2025,aprovada_com_emendas,aprovada,6,32,34,2025-03-27,Estabelece critérios de utilização de áreas públicas no Distrito Federal por mobiliários urbanos do tipo quiosque e trailer para o exercício de atividades econômicas e dá outras providências.
2025,Projeto de Lei Complementar,69,PLC 69/2025,aprovada_com_emendas,aprovada,2,2,2,2025-04-09,"Altera a Lei Complementar nº 987, de 26 de julho de 2021, que ""Autoriza a criação e define as áreas de atuação da Universidade do Distrito Federal – UnDF e dá outras providências""."
2025,Projeto de Lei Complementar,70,PLC 70/2025,aprovada_com_emendas,aprovada,1,1,1,2025-04-10,"Altera a Lei Complementar nº 769, de 30 de junho de 2008, que ""reorganiza e unifica o Regime Próprio de Previdência Social do Distrito Federal – RPPS/DF e dá outras providências""."
2025,Projeto de Lei Complementar,74,PLC 74/2025,aprovada_com_emendas,aprovada,1,1,1,2025-06-05,"Altera a Lei Complementar nº 998, de 11 de janeiro de 2022, que dispõe sobre o uso e a ocupação do solo no Comércio Local Sul – CLS, do Setor de Habitações Coletivas Sul – SHCS, na Região Administrativa do Plano Piloto - RA I."
2025,Projeto de Lei Complementar,76,PLC 76/2025,pendente,pendente,0,0,0,2025-07-21,"Altera a Lei nº 4.751, de 07 de fevereiro de 2012, que ""dispõe sobre o sistema de ensino e a gestão democrática da educação básica na rede pública de ensino do Distrito Federal e dá outras providências"".
"
2025,Projeto de Lei Complementar,78,PLC 78/2025,aprovada_com_emendas,aprovada,201,625,641,2025-08-08,Aprova o Plano Diretor de Ordenamento Territorial do Distrito Federal – PDOT e dá outras providências.
2025,Projeto de Lei Complementar,79,PLC 79/2025,aprovada_no_texto_original,aprovada,0,2,4,2025-09-01,"Altera a Lei Complementar nº 806, de 12 de junho de 2009, que ""dispõe sobre a política pública de regularização urbanística e fundiária das unidades imobiliárias ocupadas por entidades religiosas de qualquer culto para celebrações públicas ou entidades de assistência social, e dá outras providências""."
2025,Projeto de Lei Complementar,81,PLC 81/2025,aprovada_no_texto_original,aprovada,0,0,1,2025-09-17,"Altera a Lei Complementar nº 1.038, de 16 de julho de 2024, que ""institui o Programa de Incentivo de Regularização de Débitos Não Tributários do Distrito Federal – Refis-N e isenta o pagamento da Outorga Onerosa da Alteração de Uso - ONALT, nas formas e condições específicas, e dá outras providências"".

"
2025,Projeto de Lei Complementar,82,PLC 82/2025,aprovada_com_emendas,aprovada,1,5,6,2025-09-23,"Altera a Lei Complementar nº 932, de 03 de outubro de 2017, que ""institui o regime de previdência complementar do Distrito Federal, reestrutura o Regime Próprio de Previdência Social do Distrito Federal, previsto no art. 40, §§ 14 a 16, da Constituição Federal""; e altera a Lei Complementar nº 769, de 30 de junho de 2008, a qual ""reorganiza e unifica o Regime Próprio de Previdência Social do Distrito Federal - RPPS/DF e dá outras providências"", e dá outras providências. "
