ano,data_da_liquidacao,data_da_ordem_bancaria,dias_entre_liquidacao_e_pagamento,cnpj_credor,credor,forma_do_registro_na_fonte,valor,objeto,categoria_de_contrato,fonte_de_recursos,obrigacoes_mais_antigas_ultrapassadas,justificativa_publicada,as_of
2026,2026-03-06,2026-03-09,3,02474172000122,"INST. BRASILEIRO DE ENSINO, DES. E PESQUISA - IDP",cnpj,"1.062,48",POS-GRADUAÇÃO EM DIREITO LEGISLATIVO - PARCELA 10 DE 12,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2026,2026-03-06,2026-03-09,3,02474172000122,"INST. BRASILEIRO DE ENSINO, DES. E PESQUISA - IDP",cnpj,"968,54",MBA EM GESTAO PUBLICA E POLITICAS PUBLICAS - PARCELA 10 DE 12,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2026,2026-03-09,2026-03-09,0,42753412000142,HEAD 360 GRAUS SERVICOS DE MARKETING DIRETO LTDA,cnpj,"87.423,13",SERVIÇOS DE COMUNICAÇÃO DIGITAL - OS 01/2026,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2026,2026-03-10,2026-03-10,0,18607653000107,BIBLIOTHECA SISTEMAS DO BRASIL,cnpj,"3.239,85",SERVIÇOS DE MANUTENÇÃO EM EQUIPAMENTOS DO SISTEMA DE SEGURANÇA DA BIBLIOTECA,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2026,2026-03-10,2026-03-10,0,10251429000105,BRAZ & BRAZ LTDA,cnpj,"65.573,76",SERVIÇOS DE LOCAÇÃO DE VEÍCULOS - JANEIRO DE 2026,LOCAÇÕES,1500-100000000,0,,2026-09-02T17:49:17
2026,2026-03-10,2026-03-10,0,02474172000122,"INST. BRASILEIRO DE ENSINO, DES. E PESQUISA - IDP",cnpj,"1.205,64",MBA EM GESTAO DE CIDADES - PARCELA 10 DE 12,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2026,2026-03-10,2026-03-10,0,02474172000122,"INST. BRASILEIRO DE ENSINO, DES. E PESQUISA - IDP",cnpj,"1.205,64",PÓS-GRADUAÇÃO EM LICITAÇÕES E CONTRATOS - PARCELAS 10 DE 12,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2026,2026-03-10,2026-03-10,0,02474172000122,"INST. BRASILEIRO DE ENSINO, DES. E PESQUISA - IDP",cnpj,"1.210,67",MBA EM GESTAO PUBLICA E POLITICAS PUBLICAS - PARCELA 10 DE 12,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2026,2026-03-10,2026-03-10,0,02474172000122,"INST. BRASILEIRO DE ENSINO, DES. E PESQUISA - IDP",cnpj,"1.356,34",MBA EM GESTAO DE CIDADES - PARCELAS 10 DE 12,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2026,2026-03-10,2026-03-10,0,02474172000122,"INST. BRASILEIRO DE ENSINO, DES. E PESQUISA - IDP",cnpj,"3.974,56",MESTRADO EM DIREITO CONSTITUCIONAL - PARCELAS 09 DE 24 - RPNP,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2026,2026-03-10,2026-03-10,0,43262746000186,JUSTI TRADUÇÕES LTDA,cnpj,"10.548,59",SERVIÇO DE TRADUÇÃO E INTERPRETAÇÃO DE LIBRAS - FEVEREIRO DE 2026,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2026,2026-03-10,2026-03-10,0,00545482000165,NETWORLD TELECOMUNICACOES DO BRASIL LTDA,cnpj,"1.385,92",SERVIÇOS DE ANTI DOS E DDOS - JANEIRO DE 2026,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2026,2026-03-10,2026-03-10,0,00545482000165,NETWORLD TELECOMUNICACOES DO BRASIL LTDA,cnpj,"541,77",SERVIÇOS DE LINK DE DADOS PARA ACESSO DEDICADO À INTERNET - JANEIRO DE 2026,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2026,2026-03-10,2026-03-10,0,88633680000202,OSM CONSULTORIA E SISTEMAS LTDA,cnpj,"13.036,95",SERVIÇOS DE MANUTENÇÃO E SUPORTE DA MENSAGERIA MENTORH (ESOCIAL) - FEVEREIRO,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2026,2026-03-10,2026-03-10,0,88633680000202,OSM CONSULTORIA E SISTEMAS LTDA,cnpj,"60.348,63",SERVIÇOS DE MANUTENÇÃO E SUPORTE TÉCNICO DO SISTEMA MENTORH - FEVEREIRO,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2026,2026-03-10,2026-03-10,0,61198164000160,PORTO SEGURO COMPANHIA DE SEGUROS GERAIS,cnpj,"14.197,94",CONTRATAÇÃO DE SEGURO PREDIAL PARA A SEDE DA CLDF,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2026,2026-03-10,2026-03-10,0,33683111000107,SERVICO FEDERAL DE PROCESSAMENTO DE DADOS - SERPRO,cnpj,"3.834,28",SERVIÇOS DE CONEXÃO REDE INFOVIA BRASÍLIA - FEVEREIRO DE 2026 (BOLETO),PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2026,2026-03-10,2026-03-10,0,37131539000190,STAR LOCAÇÃO DE SERVIÇOS GERAIS LTDA EPP,cnpj,"1.211,60",SERVIÇOS DE ORGANIZAÇÃO EVENTOS INSTITUCIONAIS - OS 01 E 02,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2026,2026-03-11,2026-03-12,1,07660888000138,"CLARA SERVICOS INTEGRADOS VIDEO, CONTEUDO WEB LTDA",cnpj,"89.757,86",SERVIÇOS DE COMUNICAÇÃO DIGITAL - OS 01/2026,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2026,2026-03-11,2026-03-12,1,07720240000100,WMED UTI - MOVEL SERVICOS DE SAUDE LTDA,cnpj,"4.185,10",SERVIÇO MÓVEL DE URGÊNCIA E EMERGÊNCIA COM AMBULÂNCIA - FEVEREIRO,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2026,2026-03-12,2026-03-13,1,02116643000120,AXEN TECNOLOGIA E ENGENHARIA LTDA,cnpj,"21.567,38",SERVIÇOS DE MANUTENÇÃO DO SISTEMA DE AUTOMAÇÃO PREDIAL - JANEIRO DE 2026,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2026,2026-03-12,2026-03-13,1,00082024000137,COMPANHIA DE SANEAMENTO AMBIENTAL DO DF - CAESB,cnpj,"47.330,94",SERVIÇOS DE FORNECIMENTO DE ÁGUA E TRATAMENTO DE ESGOTO - FEVEREIRO DE 2026,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2026,2026-03-12,2026-03-13,1,01215897000133,IDEALINE TECNOLOGIA E SEGURANCA LTDA EPP,cnpj,"277,31",FORNECIMENTO DE PEÇAS PARA MANUTENÇÃO DO SISTEMA DE CONTROLE DE ACESSO À CLDF - JANEIRO DE 2026,FORNECIMENTO DE BENS,1500-100000000,0,,2026-09-02T17:49:17
2026,2026-03-12,2026-03-13,1,01215897000133,IDEALINE TECNOLOGIA E SEGURANCA LTDA EPP,cnpj,"3.389,33",SERVIÇOS DE MANUTENÇÃO DO SISTEMA DE CONTROLE DE ACESSO À CLDF - JANEIRO DE 2026,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2026,2026-03-12,2026-03-13,1,49300396000181,LEIDE CRISTINA RODRIGUES DA ENCARNAÇÃO,cnpj,"1.661,87",FORNECIMENTO DE MATERIAIS DE CONSUMO PARA PROCESSAMENTO DE DADOS,FORNECIMENTO DE BENS,1500-100000000,0,,2026-09-02T17:49:17
2026,2026-03-12,2026-03-13,1,49300396000181,LEIDE CRISTINA RODRIGUES DA ENCARNAÇÃO,cnpj,"4.990,00",FORNECIMENTO DE MÁQUINAS E EQUIPAMENTOS GRÁFICOS - IMPRESSORA 3D,FORNECIMENTO DE BENS,1500-100000000,0,,2026-09-02T17:49:17
2026,2026-03-13,2026-03-13,0,14745075000106,CONFIANCA ADMINISTRACOES E SERVICOS EIRELI,cnpj,"185,17",SERVIÇOS DE COLETA E DESTINAÇÃO FINAL DE RESÍDUOS DO SAS - JANEIRO,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
