cod_unidade_orcamentaria,unidade_orcamentaria,ano,emendas,canceladas,vl_emenda,vl_lei_alteracao,vl_empenhado,vl_disponivel,vl_desbloqueado,vl_liquidado,as_of
670101,SECRETARIA DE ESTADO DA FAMÍLIA DO DISTRITO FEDERAL,2021,12,11,"0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
670101,SECRETARIA DE ESTADO DA FAMÍLIA DO DISTRITO FEDERAL,2022,5,5,"0,00","0,00","0,00","0,00","2.269.437,00","0,00",2025-12-16T18:14:28.151388
670101,SECRETARIA DE ESTADO DA FAMÍLIA DO DISTRITO FEDERAL,2023,12,5,"3.257.501,00","3.127.501,00","311.160,00","1.440.840,00","1.880.000,00","0,00",2025-12-16T18:14:28.151388
670101,SECRETARIA DE ESTADO DA FAMÍLIA DO DISTRITO FEDERAL,2024,5,1,"1.800.000,00","1.950.000,00","1.274.153,56","0,00","1.550.000,00","1.274.153,56",2025-12-16T18:14:28.151388
570101,SECRETARIA DE ESTADO DA MULHER DO DISTRITO FEDERAL,2021,12,4,"3.015.000,00","3.015.000,00","2.098.591,31","756.408,69","2.855.000,00","1.433.874,49",2025-12-16T18:14:28.151388
570101,SECRETARIA DE ESTADO DA MULHER DO DISTRITO FEDERAL,2022,11,7,"1.080.000,00","1.080.000,00","180.000,00","900.000,00","1.340.000,00","180.000,00",2025-12-16T18:14:28.151388
570101,SECRETARIA DE ESTADO DA MULHER DO DISTRITO FEDERAL,2023,15,7,"5.279.975,00","5.279.975,00","4.477.289,08","340.685,92","5.738.000,00","3.877.289,08",2025-12-16T18:14:28.151388
570101,SECRETARIA DE ESTADO DA MULHER DO DISTRITO FEDERAL,2024,27,13,"13.503.539,00","13.503.539,00","12.675.557,85","0,00","13.300.094,91","12.675.557,85",2025-12-16T18:14:28.151388
570101,SECRETARIA DE ESTADO DA MULHER DO DISTRITO FEDERAL,2025,24,8,"13.082.000,00","13.082.000,00","5.858.206,44","3.878.256,68","9.736.463,12","5.658.206,44",2025-12-16T18:14:28.151388
610101,SECRETARIA DE ESTADO DE ATENDIMENTO À COMUNIDADE DO DISTRITO FEDERAL,2023,7,1,"1.250.000,00","1.250.000,00","1.001.926,55","248.073,45","1.250.000,00","107.626,49",2025-12-16T18:14:28.151388
610101,SECRETARIA DE ESTADO DE ATENDIMENTO À COMUNIDADE DO DISTRITO FEDERAL,2024,5,2,"906.500,00","906.500,00","902.897,77","0,00","1.100.000,00","803.242,23",2025-12-16T18:14:28.151388
610101,SECRETARIA DE ESTADO DE ATENDIMENTO À COMUNIDADE DO DISTRITO FEDERAL,2025,1,1,"0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
650101,"SECRETARIA DE ESTADO DE CIÊNCIA, TECNOLOGIA E INOVAÇÃO DO DISTRITO FEDERAL",2021,14,4,"11.405.358,00","11.405.358,00","11.262.583,30","42.774,70","12.225.358,00","73.500,45",2025-12-16T18:14:28.151388
650101,"SECRETARIA DE ESTADO DE CIÊNCIA, TECNOLOGIA E INOVAÇÃO DO DISTRITO FEDERAL",2022,6,3,"2.300.000,00","2.300.000,00","2.099.549,85","200.450,15","400.000,00","2.099.549,85",2025-12-16T18:14:28.151388
650101,"SECRETARIA DE ESTADO DE CIÊNCIA, TECNOLOGIA E INOVAÇÃO DO DISTRITO FEDERAL",2023,15,7,"8.700.000,00","8.700.000,00","8.699.019,72","980,28","8.700.000,00","7.335.222,86",2025-12-16T18:14:28.151388
650101,"SECRETARIA DE ESTADO DE CIÊNCIA, TECNOLOGIA E INOVAÇÃO DO DISTRITO FEDERAL",2024,20,3,"34.808.851,00","34.308.851,00","34.286.092,33","0,00","35.299.959,80","34.270.568,04",2025-12-16T18:14:28.151388
650101,"SECRETARIA DE ESTADO DE CIÊNCIA, TECNOLOGIA E INOVAÇÃO DO DISTRITO FEDERAL",2025,22,2,"39.645.800,00","39.645.800,00","37.347.225,24","2.074,76","37.349.300,00","24.335.446,22",2025-12-16T18:14:28.151388
230101,SECRETARIA DE ESTADO DE CULTURA E ECONOMIA CRIATIVA DO DISTRITO FEDERAL,2021,56,16,"40.588.573,00","40.738.573,00","37.478.704,35","1.824.294,65","38.952.999,00","37.068.975,18",2025-12-16T18:14:28.151388
230101,SECRETARIA DE ESTADO DE CULTURA E ECONOMIA CRIATIVA DO DISTRITO FEDERAL,2022,44,10,"59.385.716,00","59.505.716,00","55.018.423,99","3.295.291,71","61.218.399,70","48.727.253,59",2025-12-16T18:14:28.151388
230101,SECRETARIA DE ESTADO DE CULTURA E ECONOMIA CRIATIVA DO DISTRITO FEDERAL,2023,59,24,"81.473.250,00","82.473.250,00","75.832.646,46","3.311.363,55","79.044.010,00","62.669.287,51",2025-12-16T18:14:28.151388
230101,SECRETARIA DE ESTADO DE CULTURA E ECONOMIA CRIATIVA DO DISTRITO FEDERAL,2024,40,4,"105.569.929,00","107.569.929,00","90.674.340,30","1.110.044,49","103.427.992,14","90.279.867,10",2025-12-16T18:14:28.151388
230101,SECRETARIA DE ESTADO DE CULTURA E ECONOMIA CRIATIVA DO DISTRITO FEDERAL,2025,29,1,"104.948.748,00","104.948.748,00","66.705.200,58","21.971.846,42","89.027.048,00","58.533.376,09",2025-12-16T18:14:28.151388
240101,SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONÔMICO DO DISTRITO FEDERAL,2021,17,3,"7.577.602,82","12.577.602,82","6.415.589,33","158.900,70","7.085.000,00","6.415.589,33",2025-12-16T18:14:28.151388
240101,SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONÔMICO DO DISTRITO FEDERAL,2022,27,6,"17.590.000,00","17.590.000,00","16.633.427,50","566.127,29","16.739.554,79","15.973.489,26",2025-12-16T18:14:28.151388
240101,SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONÔMICO DO DISTRITO FEDERAL,2023,9,8,"100.000,00","100.000,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
250101,"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONÔMICO, TRABALHO E RENDA DO DISTRITO FEDERAL",2021,25,9,"14.950.000,00","16.450.000,00","7.557.174,10","2.992.825,90","15.250.000,00","3.464.878,17",2025-12-16T18:14:28.151388
250101,"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONÔMICO, TRABALHO E RENDA DO DISTRITO FEDERAL",2022,23,10,"19.020.945,00","19.030.945,00","18.666.390,72","354.554,28","20.371.840,00","15.730.346,56",2025-12-16T18:14:28.151388
250101,"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONÔMICO, TRABALHO E RENDA DO DISTRITO FEDERAL",2023,33,18,"14.047.350,00","14.047.350,00","13.262.560,04","682.439,96","13.945.000,00","10.893.322,37",2025-12-16T18:14:28.151388
250101,"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONÔMICO, TRABALHO E RENDA DO DISTRITO FEDERAL",2024,32,15,"20.352.000,00","20.352.000,00","18.432.558,51","0,00","19.430.000,00","16.177.848,01",2025-12-16T18:14:28.151388
250101,"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONÔMICO, TRABALHO E RENDA DO DISTRITO FEDERAL",2025,24,9,"20.787.798,00","21.117.798,00","11.840.298,22","5.977.499,78","18.517.798,00","11.431.894,22",2025-12-16T18:14:28.151388
180101,SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL DO DISTRITO FEDERAL,2021,17,7,"2.530.000,00","2.530.000,00","140.000,00","1.930.000,00","2.070.000,00","140.000,00",2025-12-16T18:14:28.151388
180101,SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL DO DISTRITO FEDERAL,2022,11,6,"2.400.000,00","2.400.000,00","2.390.164,96","9.835,04","2.650.000,00","1.932.534,57",2025-12-16T18:14:28.151388
180101,SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL DO DISTRITO FEDERAL,2023,25,14,"4.039.000,00","4.039.000,00","3.639.000,00","250.000,00","3.889.000,00","900.000,00",2025-12-16T18:14:28.151388
180101,SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL DO DISTRITO FEDERAL,2024,21,13,"2.570.000,00","2.220.000,00","2.211.930,87","0,00","2.810.000,00","1.421.281,00",2025-12-16T18:14:28.151388
180101,SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL DO DISTRITO FEDERAL,2025,19,5,"4.480.000,00","4.780.000,00","2.350.000,00","200.000,00","3.200.000,00","1.666.573,34",2025-12-16T18:14:28.151388
280101,SECRETARIA DE ESTADO DE DESENVOLVIMENTO URBANO E HABITAÇÃO DO DISTRITO FEDERAL,2021,4,3,"0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
280101,SECRETARIA DE ESTADO DE DESENVOLVIMENTO URBANO E HABITAÇÃO DO DISTRITO FEDERAL,2024,1,1,"0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
130103,SECRETARIA DE ESTADO DE ECONOMIA DO DISTRITO FEDERAL,2021,24,1,"16.758.767,00","16.758.767,00","15.145.080,09","1.493.687,91","16.638.767,00","15.145.080,09",2025-12-16T18:14:28.151388
130103,SECRETARIA DE ESTADO DE ECONOMIA DO DISTRITO FEDERAL,2022,2,2,"0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
130103,SECRETARIA DE ESTADO DE ECONOMIA DO DISTRITO FEDERAL,2025,3,3,"0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
160101,SECRETARIA DE ESTADO DE EDUCAÇÃO DO DISTRITO FEDERAL,2021,55,8,"132.832.299,00","132.692.299,00","126.136.372,00","1.848.958,00","127.652.530,00","125.791.372,00",2025-12-16T18:14:28.151388
160101,SECRETARIA DE ESTADO DE EDUCAÇÃO DO DISTRITO FEDERAL,2022,45,8,"105.639.531,00","108.439.531,00","104.342.251,00","784.000,00","120.162.785,00","99.342.251,00",2025-12-16T18:14:28.151388
160101,SECRETARIA DE ESTADO DE EDUCAÇÃO DO DISTRITO FEDERAL,2023,78,29,"126.436.463,00","126.436.463,00","114.447.647,00","3.511.745,00","119.029.391,00","113.572.647,00",2025-12-16T18:14:28.151388
160101,SECRETARIA DE ESTADO DE EDUCAÇÃO DO DISTRITO FEDERAL,2024,60,15,"147.935.585,00","147.935.585,00","144.722.624,96","0,00","151.495.176,96","144.192.624,96",2025-12-16T18:14:28.151388
160101,SECRETARIA DE ESTADO DE EDUCAÇÃO DO DISTRITO FEDERAL,2025,45,6,"129.579.082,00","134.379.082,00","84.115.064,15","19.197.793,03","103.312.861,78","82.723.415,25",2025-12-16T18:14:28.151388
440101,SECRETARIA DE ESTADO DE JUSTIÇA E CIDADANIA,2021,28,11,"6.360.000,00","6.360.000,00","5.050.944,76","879.055,24","5.830.000,00","4.395.915,71",2025-12-16T18:14:28.151388
440101,SECRETARIA DE ESTADO DE JUSTIÇA E CIDADANIA,2022,22,12,"6.916.062,00","7.116.062,00","6.957.287,87","158.538,18","7.604.740,00","5.513.349,86",2025-12-16T18:14:28.151388
440101,SECRETARIA DE ESTADO DE JUSTIÇA E CIDADANIA,2023,30,14,"6.572.424,00","6.572.424,00","4.986.656,29","476.767,71","5.765.000,00","4.662.299,00",2025-12-16T18:14:28.151388
440101,SECRETARIA DE ESTADO DE JUSTIÇA E CIDADANIA,2024,29,17,"12.818.000,00","13.068.000,00","12.253.787,18","0,00","12.568.000,00","10.413.851,18",2025-12-16T18:14:28.151388
440101,SECRETARIA DE ESTADO DE JUSTIÇA E CIDADANIA,2025,30,5,"23.850.000,00","23.850.000,00","15.341.535,24","5.418.464,76","20.810.000,00","5.387.129,68",2025-12-16T18:14:28.151388
190101,SECRETARIA DE ESTADO DE OBRAS E INFRAESTRUTURA DO DISTRITO FEDERAL,2021,26,5,"3.471.604,00","3.471.604,00","1.552.984,88","1.007.619,12","2.360.604,00","1.476.527,16",2025-12-16T18:14:28.151388
190101,SECRETARIA DE ESTADO DE OBRAS E INFRAESTRUTURA DO DISTRITO FEDERAL,2022,7,7,"0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
